,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
28,TLW Cooper,2011-2011,6,6,164,3,153,4,38.25,41.0,5.59,2/31,-,-,-,2,Netherlands
29,CK Coventry,2011-2011,3,-,0,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe
30,AG Cremer,2011-2011,6,6,278,1,211,6,35.16,46.3,4.55,3/31,-,-,-,2,Zimbabwe
31,AR Cusack,2011-2011,5,5,110,1,108,-,-,-,5.89,-,-,-,-,1,Ireland
32,JM Davison,2011-2011,5,5,210,1,197,5,39.40,42.0,5.62,2/56,-,-,-,5,Canada
33,TN de Grooth,2011-2011,5,-,0,-,-,-,-,-,-,-,-,-,-,-,Netherlands
34,PA Desai,2011-2011,1,1,18,-,20,-,-,-,6.66,-,-,-,-,-,Canada
35,AB de Villiers,2011-2011,5,-,0,-,-,-,-,-,-,-,-,-,-,1,South Africa
36,GH Dockrell,2011-2011,6,6,280,2,207,7,29.57,40.0,4.43,2/23,-,-,-,3,Ireland
37,JP Duminy,2011-2011,7,5,102,-,85,2,42.50,51.0,5.00,1/11,-,-,-,4,South Africa
38,F du Plessis,2011-2011,7,2,48,-,38,1,38.00,48.0,4.75,1/22,-,-,-,-,South Africa
39,KA Edwards,2011-2011,1,-,0,-,-,-,-,-,-,-,-,-,-,-,West Indies
40,CR Ervine,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe
41,JEC Franklin,2011-2011,6,4,84,-,79,-,-,-,5.64,-,-,-,-,2,New Zealand
42,CH Gayle,2011-2011,5,1,36,-,26,-,-,-,4.33,-,-,-,-,3,West Indies
43,TG Gordon,2011-2011,4,1,3,-,1,-,-,-,2.00,-,-,-,-,1,Canada
44,R Gunasekera,2011-2011,5,-,0,-,-,-,-,-,-,-,-,-,-,1,Canada
45,BJ Haddin,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,13,Australia
46,AS Hansra,2011-2011,6,5,144,1,147,2,73.50,72.0,6.12,2/23,-,-,-,3,Canada
47,JM How,2011-2011,2,-,0,-,-,-,-,-,-,-,-,-,-,-,New Zealand
48,DJ Hussey,2011-2011,4,2,54,1,31,2,15.50,27.0,3.44,1/12,-,-,-,-,Australia
49,MEK Hussey,2011-2011,4,-,0,-,-,-,-,-,-,-,-,-,-,1,Australia
50,Imran Tahir,2011-2011,5,5,237,2,150,14,10.71,16.9,3.79,4/38,-,-,-,2,South Africa
51,Imrul Kayes,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,-,2,Bangladesh
52,CA Ingram,2011-2011,1,-,0,-,-,-,-,-,-,-,-,-,-,-,South Africa
53,MG Johnson,2011-2011,7,7,345,7,231,10,23.10,34.5,4.01,4/19,-,-,-,1,Australia
54,DT Johnston,2011-2011,5,5,260,2,240,8,30.00,32.5,5.53,2/16,-,-,-,3,Ireland
55,EC Joyce,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,-,-,Ireland
56,Junaid Siddique,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,-,3,Bangladesh
57,JH Kallis,2011-2011,7,6,180,3,123,5,24.60,36.0,4.10,2/19,-,-,-,6,South Africa
58,JK Kamande,2011-2011,5,5,150,-,170,3,56.66,50.0,6.80,2/46,-,-,-,1,Kenya
59,AN Kervezee,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,-,5,Netherlands
60,Khurram Chohan,2011-2011,4,4,171,-,156,2,78.00,85.5,5.47,2/44,-,-,-,-,Canada
61,JJ Krejza,2011-2011,7,7,371,-,278,5,55.60,74.2,4.49,2/28,-,-,-,1,Australia
62,BP Kruger,2011-2011,1,1,21,-,23,-,-,-,6.57,-,-,-,-,1,Netherlands
63,NR Kumar,2011-2011,3,-,0,-,-,-,-,-,-,-,-,-,-,2,Canada
64,GA Lamb,2011-2011,5,5,210,-,163,4,40.75,52.5,4.65,2/21,-,-,-,-,Zimbabwe
65,B Lee,2011-2011,7,7,326,6,235,13,18.07,25.0,4.32,4/28,-,-,-,4,Australia
66,BP Loots,2011-2011,4,4,166,-,207,2,103.50,83.0,7.48,1/44,-,-,-,-,Netherlands
67,Mahmudullah,2011-2011,4,3,132,-,125,3,41.66,44.0,5.68,1/30,-,-,-,-,Bangladesh
68,SW Masakadza,2011-2011,1,1,36,1,44,-,-,-,7.33,-,-,-,-,-,Zimbabwe
69,NO Miller,2011-2011,3,2,78,-,63,-,-,-,4.84,-,-,-,-,-,West Indies
70,KD Mills,2011-2011,3,3,124,2,74,6,12.33,20.6,3.58,2/2,-,-,-,-,New Zealand
71,T Mishra,2011-2011,5,-,0,-,-,-,-,-,-,-,-,-,-,1,Kenya
72,Mohammad Ashraful,2011-2011,2,2,66,-,53,2,26.50,33.0,4.81,2/42,-,-,-,1,Bangladesh
73,JF Mooney,2011-2011,6,6,270,-,259,10,25.90,27.0,5.75,4/63,-,-,-,2,Ireland
74,M Morkel,2011-2011,6,6,242,-,207,9,23.00,26.8,5.13,3/33,-,-,-,2,South Africa
75,CB Mpofu,2011-2011,4,4,162,1,159,7,22.71,23.1,5.88,4/62,-,-,-,1,Zimbabwe
76,Mushfiqur Rahim,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,4,3,Bangladesh
77,Naeem Islam,2011-2011,5,5,222,2,175,4,43.75,55.5,4.72,2/29,-,-,-,2,Bangladesh
78,JO Ngoche,2011-2011,3,3,168,2,150,2,75.00,84.0,5.35,1/26,-,-,-,2,Kenya
79,SO Ngoche,2011-2011,3,2,84,-,85,1,85.00,84.0,6.07,1/46,-,-,-,-,Kenya
80,AA Obanda,2011-2011,3,-,0,-,-,-,-,-,-,-,-,-,-,-,Kenya
81,KJ O'Brien,2011-2011,6,4,102,-,115,4,28.75,25.5,6.76,4/71,-,-,-,3,Ireland
82,NJ O'Brien,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,1,3,Ireland
83,CO Obuya,2011-2011,6,5,70,-,80,1,80.00,70.0,6.85,1/33,-,-,-,1,Kenya
84,DO Obuya,2011-2011,4,-,0,-,-,-,-,-,-,-,-,-,-,2,Kenya
85,NN Odhiambo,2011-2011,6,6,258,2,256,6,42.66,43.0,5.95,3/57,-,-,-,-,Kenya
86,TM Odoyo,2011-2011,5,4,150,3,134,3,44.66,50.0,5.36,3/41,-,-,-,-,Kenya
87,PJ Ongondo,2011-2011,2,2,78,-,81,1,81.00,78.0,6.23,1/53,-,-,-,-,Kenya
88,H Osinde,2011-2011,5,5,216,3,166,6,27.66,36.0,4.61,4/26,-,-,-,2,Canada
89,E Otieno,2011-2011,6,6,249,1,274,5,54.80,49.8,6.60,2/61,-,-,-,1,Kenya
90,MA Ouma,2011-2011,5,-,0,-,-,-,-,-,-,-,-,-,2,2,Kenya
91,T Panyangara,2011-2011,2,2,69,-,93,-,-,-,8.08,-,-,-,-,2,Zimbabwe
92,WD Parnell,2011-2011,1,1,24,1,4,-,-,-,1.00,-,-,-,-,-,South Africa
93,H Patel,2011-2011,2,1,6,-,19,-,-,-,19.00,-,-,-,-,-,Canada
94,RR Patel,2011-2011,4,-,0,-,-,-,-,-,-,-,-,-,-,2,Kenya
95,YK Pathan,2011-2011,6,6,210,2,167,1,167.00,210.0,4.77,1/49,-,-,-,2,India
96,RJ Peterson,2011-2011,7,7,336,5,238,15,15.86,22.4,4.25,4/12,-,-,-,6,South Africa
97,KP Pietersen,2011-2011,4,2,60,-,49,-,-,-,4.90,-,-,-,-,1,England
98,KA Pollard,2011-2011,7,5,191,-,157,2,78.50,95.5,4.93,1/37,-,-,-,6,West Indies
99,RT Ponting,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,3,Australia
100,WTS Porterfield,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,-,4,Ireland
101,RW Price,2011-2011,6,6,294,7,169,9,18.77,32.6,3.44,3/16,-,-,-,2,Zimbabwe
102,R Rampaul,2011-2011,2,2,90,1,79,5,15.80,18.0,5.26,5/51,1,-,-,1,West Indies
103,WB Rankin,2011-2011,6,6,330,2,315,3,105.00,110.0,5.72,1/35,-,-,-,1,Ireland
104,Raqibul Hasan,2011-2011,4,-,0,-,-,-,-,-,-,-,-,-,-,1,Bangladesh
105,Rizwan Cheema,2011-2011,6,6,245,1,248,6,41.33,40.8,6.07,2/30,-,-,-,-,Canada
106,KAJ Roach,2011-2011,6,6,276,2,195,13,15.00,21.2,4.23,6/27,1,-,-,-,West Indies
107,Rubel Hossain,2011-2011,6,6,238,-,216,5,43.20,47.6,5.44,3/56,-,-,-,-,Bangladesh
108,AD Russell,2011-2011,3,3,163,3,132,7,18.85,23.2,4.85,4/49,-,-,-,2,West Indies
109,DJG Sammy,2011-2011,7,7,276,4,206,8,25.75,34.5,4.47,3/21,-,-,-,3,West Indies
110,RR Sarwan,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,1,West Indies
111,PM Seelaar,2011-2011,6,6,358,4,306,8,38.25,44.7,5.12,3/45,-,-,-,2,Netherlands
112,Shafiul Islam,2011-2011,6,6,236,4,203,6,33.83,39.3,5.16,4/21,-,-,-,1,Bangladesh
113,Shahriar Nafees,2011-2011,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
114,A Shahzad,2011-2011,2,2,108,-,96,3,32.00,36.0,5.33,3/43,-,-,-,-,England
115,Shakib Al Hasan,2011-2011,6,6,278,-,223,8,27.87,34.7,4.81,2/28,-,-,-,2,Bangladesh
116,Shoaib Akhtar,2011-2011,3,3,144,1,122,3,40.66,48.0,5.08,2/42,-,-,-,-,Pakistan
117,V Sibanda,2011-2011,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe
118,DS Smith,2011-2011,7,1,5,-,5,-,-,-,6.00,-,-,-,-,-,West Indies
119,GC Smith,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,5,South Africa
120,SPD Smith,2011-2011,6,5,162,-,139,1,139.00,162.0,5.14,1/44,-,-,-,1,Australia
121,Sohrawordi Shuvo,2011-2011,1,1,60,1,33,1,33.00,60.0,3.30,1/33,-,-,-,-,Bangladesh
122,DW Steyn,2011-2011,6,6,277,3,192,12,16.00,23.0,4.15,5/50,1,-,-,1,South Africa
123,PR Stirling,2011-2011,6,6,276,-,208,4,52.00,69.0,4.52,2/51,-,-,-,2,Ireland
124,ZE Surkari,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,-,1,Canada
125,ES Szwarczynski,2011-2011,3,-,0,-,-,-,-,-,-,-,-,-,-,-,Netherlands
126,T Taibu,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,3,-,Zimbabwe
127,SW Tait,2011-2011,7,7,312,3,264,11,24.00,28.3,5.07,3/35,-,-,-,1,Australia
128,Tamim Iqbal,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,-,2,Bangladesh
129,BRM Taylor,2011-2011,6,1,18,-,23,-,-,-,7.66,-,-,-,-,-,Zimbabwe
130,RN ten Doeschate,2011-2011,6,6,312,2,322,7,46.00,44.5,6.19,3/72,-,-,-,2,Netherlands
131,DC Thomas,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,3,7,West Indies
132,SO Tikolo,2011-2011,5,3,126,1,117,1,117.00,126.0,5.57,1/44,-,-,-,-,Kenya
133,LL Tsotsobe,2011-2011,1,1,30,2,14,3,4.66,10.0,2.80,3/14,-,-,-,-,South Africa
134,P Utseya,2011-2011,6,6,294,3,211,6,35.16,49.0,4.30,2/24,-,-,-,-,Zimbabwe
135,MN van Wyk,2011-2011,5,-,0,-,-,-,-,-,-,-,-,-,1,7,South Africa
136,SR Waters,2011-2011,4,-,0,-,-,-,-,-,-,-,-,-,-,1,Kenya
137,SR Watson,2011-2011,7,7,234,1,178,3,59.33,78.0,4.56,1/9,-,-,-,3,Australia
138,BA Westdijk,2011-2011,3,3,138,-,173,1,173.00,138.0,7.52,1/56,-,-,-,-,Netherlands
139,K Whatham,2011-2011,1,-,0,-,-,-,-,-,-,-,-,-,-,-,Canada
140,AR White,2011-2011,2,1,30,-,23,-,-,-,4.60,-,-,-,-,2,Ireland
141,CL White,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,1,Australia
142,SC Williams,2011-2011,2,2,66,-,40,-,-,-,3.63,-,-,-,-,1,Zimbabwe
143,GC Wilson,2011-2011,4,-,0,-,-,-,-,-,-,-,-,-,-,-,Ireland
144,LJ Woodcock,2011-2011,1,1,32,-,24,1,24.00,32.0,4.50,1/24,-,-,-,-,New Zealand
145,MH Yardy,2011-2011,3,3,156,1,159,2,79.50,78.0,6.11,1/46,-,-,-,1,England
146,B Zuiderent,2011-2011,4,-,0,-,-,-,-,-,-,-,-,-,-,-,Netherlands
147,Abdul Razzaq,2011-2011,8,8,222,6,161,5,32.20,44.4,4.35,2/8,-,-,-,-,Pakistan
148,Asad Shafiq,2011-2011,4,-,0,-,-,-,-,-,-,-,-,-,-,-,Pakistan
149,IR Bell,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,2,England
150,RS Bopara,2011-2011,5,3,100,3,63,2,31.50,50.0,3.78,2/22,-,-,-,1,England
151,TT Bresnan,2011-2011,7,7,378,5,309,9,34.33,42.0,4.90,5/48,1,-,-,1,England
152,MS Dhoni,2011-2011,9,-,0,-,-,-,-,-,-,-,-,-,3,7,India
153,TM Dilshan,2011-2011,9,7,186,2,126,8,15.75,23.2,4.06,4/4,-,-,-,6,Sri Lanka
154,G Gambhir,2011-2011,9,-,0,-,-,-,-,-,-,-,-,-,-,-,India
155,MJ Guptill,2011-2011,8,-,0,-,-,-,-,-,-,-,-,-,-,1,New Zealand
156,Harbhajan Singh,2011-2011,9,9,522,2,390,9,43.33,58.0,4.48,3/53,-,-,-,4,India
157,HMRKB Herath,2011-2011,4,3,174,2,124,3,41.33,58.0,4.27,2/46,-,-,-,-,Sri Lanka
158,DPMD Jayawardene,2011-2011,9,-,0,-,-,-,-,-,-,-,-,-,-,8,Sri Lanka
159,S Randiv,2011-2011,1,1,54,-,43,-,-,-,4.77,-,-,-,-,-,Sri Lanka
160,Kamran Akmal,2011-2011,8,-,0,-,-,-,-,-,-,-,-,-,4,8,Pakistan
161,CK Kapugedera,2011-2011,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka
162,Z Khan,2011-2011,9,9,489,4,394,21,18.76,23.2,4.83,3/20,-,-,-,4,India
163,V Kohli,2011-2011,9,2,12,-,12,-,-,-,6.00,-,-,-,-,3,India
164,KMDN Kulasekara,2011-2011,6,6,290,4,214,5,42.80,58.0,4.42,3/16,-,-,-,-,Sri Lanka
165,BB McCullum,2011-2011,8,-,0,-,-,-,-,-,-,-,-,-,1,8,New Zealand
166,NL McCullum,2011-2011,8,8,300,1,241,8,30.12,37.5,4.82,3/24,-,-,-,3,New Zealand
167,AJ McKay,2011-2011,1,1,59,1,37,1,37.00,59.0,3.76,1/37,-,-,-,-,New Zealand
168,SL Malinga,2011-2011,7,6,292,-,270,13,20.76,22.4,5.54,6/38,1,-,-,-,Sri Lanka
169,AD Mathews,2011-2011,8,6,216,-,171,6,28.50,36.0,4.75,2/29,-,-,-,1,Sri Lanka
170,BAW Mendis,2011-2011,6,5,256,5,134,7,19.14,36.5,3.14,3/35,-,-,-,-,Sri Lanka
171,Misbah-ul-Haq,2011-2011,8,-,0,-,-,-,-,-,-,-,-,-,-,3,Pakistan
172,Mohammad Hafeez,2011-2011,8,8,330,4,193,8,24.12,41.2,3.50,2/16,-,-,-,-,Pakistan
173,EJG Morgan,2011-2011,3,-,0,-,-,-,-,-,-,-,-,-,-,-,England
174,M Muralidaran,2011-2011,9,8,426,1,291,15,19.40,28.4,4.09,4/25,-,-,-,1,Sri Lanka
175,A Nehra,2011-2011,3,3,142,1,120,3,40.00,47.3,5.07,2/33,-,-,-,1,India
176,JDP Oram,2011-2011,6,6,299,6,221,12,18.41,24.9,4.43,4/39,-,-,-,5,New Zealand
177,MM Patel,2011-2011,8,8,395,1,353,11,32.09,35.9,5.36,4/48,-,-,-,2,India
178,NLTC Perera,2011-2011,4,4,186,-,174,7,24.85,26.5,5.61,3/24,-,-,-,1,Sri Lanka
179,MJ Prior,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,3,7,England
180,SK Raina,2011-2011,4,1,12,-,12,1,12.00,12.0,6.00,1/12,-,-,-,3,India
181,JD Ryder,2011-2011,7,5,85,-,81,1,81.00,85.0,5.71,1/15,-,-,-,4,New Zealand
182,Saeed Ajmal,2011-2011,3,3,156,1,93,5,18.60,31.2,3.57,2/18,-,-,-,-,Pakistan
183,TT Samaraweera,2011-2011,9,1,12,-,4,1,4.00,12.0,2.00,1/4,-,-,-,3,Sri Lanka
184,KC Sangakkara,2011-2011,9,-,0,-,-,-,-,-,-,-,-,-,4,10,Sri Lanka
185,V Sehwag,2011-2011,8,-,0,-,-,-,-,-,-,-,-,-,-,3,India
186,Shahid Afridi,2011-2011,8,8,447,4,270,21,12.85,21.2,3.62,5/16,2,-,-,5,Pakistan
187,LPC Silva,2011-2011,7,1,18,-,12,-,-,-,4.00,-,-,-,-,-,Sri Lanka
188,TG Southee,2011-2011,8,8,434,9,312,18,17.33,24.1,4.31,3/13,-,-,-,1,New Zealand
189,S Sreesanth,2011-2011,2,2,78,-,105,-,-,-,8.07,-,-,-,-,-,India
190,AJ Strauss,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,1,England
191,SB Styris,2011-2011,8,5,172,-,127,4,31.75,43.0,4.43,2/17,-,-,-,3,New Zealand
192,GP Swann,2011-2011,7,7,408,5,309,12,25.75,34.0,4.54,3/36,-,-,-,1,England
193,LRPL Taylor,2011-2011,8,-,0,-,-,-,-,-,-,-,-,-,-,5,New Zealand
194,SR Tendulkar,2011-2011,9,2,24,-,21,-,-,-,5.25,-,-,-,-,2,India
195,WU Tharanga,2011-2011,9,-,0,-,-,-,-,-,-,-,-,-,-,2,Sri Lanka
196,JC Tredwell,2011-2011,2,2,96,2,86,4,21.50,24.0,5.37,4/48,-,-,-,-,England
197,CT Tremlett,2011-2011,2,2,75,-,85,-,-,-,6.80,-,-,-,-,1,England
198,IJL Trott,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,-,England
199,Umar Akmal,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,4,Pakistan
200,Umar Gul,2011-2011,8,8,363,5,272,14,19.42,25.9,4.49,3/30,-,-,-,1,Pakistan
201,DL Vettori,2011-2011,6,5,258,4,155,3,51.66,86.0,3.60,2/25,-,-,-,1,New Zealand
202,Wahab Riaz,2011-2011,5,5,203,-,158,8,19.75,25.3,4.66,5/46,1,-,-,1,Pakistan
203,KS Williamson,2011-2011,4,2,30,-,30,-,-,-,6.00,-,-,-,-,-,New Zealand
204,LJ Wright,2011-2011,2,2,48,-,35,-,-,-,4.37,-,-,-,-,-,England
205,Younis Khan,2011-2011,8,-,0,-,-,-,-,-,-,-,-,-,-,1,Pakistan
206,Yuvraj Singh,2011-2011,9,9,450,2,377,15,25.13,30.0,5.02,5/31,1,-,-,3,India
