,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
0,Abdur Razzak,2011-2011,6,6,288,5,220,7,31.42,41.1,4.58,3/29,-,-,-,-,Bangladesh
1,Abdur Rehman,2011-2011,5,5,270,3,199,3,66.33,90.0,4.42,1/34,-,-,-,-,Pakistan
2,Adeel Raja,2011-2011,2,2,90,1,75,-,-,-,5.00,-,-,-,-,-,Netherlands
3,Ahmed Shehzad,2011-2011,5,-,0,-,-,-,-,-,-,-,-,-,-,3,Pakistan
4,HM Amla,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,1,South Africa
5,JM Anderson,2011-2011,5,5,258,1,282,4,70.50,64.5,6.55,2/16,-,-,-,1,England
6,R Ashwin,2011-2011,2,2,120,-,93,4,23.25,30.0,4.65,2/41,-,-,-,1,India
7,A Bagai,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,-,8,Canada
8,HS Baidwan,2011-2011,6,6,330,3,307,13,23.61,25.3,5.58,3/35,-,-,-,2,Canada
9,WD Balaji Rao,2011-2011,6,6,324,-,299,9,33.22,36.0,5.53,4/57,-,-,-,3,Canada
10,W Barresi,2011-2011,6,-,0,-,-,-,-,-,-,-,-,-,1,2,Netherlands
11,SJ Benn,2011-2011,6,6,287,3,238,12,19.83,23.9,4.97,4/18,-,-,-,-,West Indies
12,HK Bennett,2011-2011,4,4,145,-,132,6,22.00,24.1,5.46,4/16,-,-,-,-,New Zealand
13,D Bishoo,2011-2011,3,3,150,1,106,4,26.50,37.5,4.24,3/34,-,-,-,-,West Indies
14,PW Borren,2011-2011,6,3,108,-,99,2,49.50,54.0,5.50,1/28,-,-,-,2,Netherlands
15,AC Botha,2011-2011,2,2,114,1,88,4,22.00,28.5,4.63,3/32,-,-,-,1,Ireland
16,J Botha,2011-2011,5,5,252,1,171,4,42.75,63.0,4.07,2/48,-,-,-,2,South Africa
17,DJ Bravo,2011-2011,1,1,13,-,12,-,-,-,5.53,-,-,-,-,-,West Indies
18,DM Bravo,2011-2011,7,-,0,-,-,-,-,-,-,-,-,-,-,-,West Indies
19,SCJ Broad,2011-2011,3,3,154,2,153,6,25.50,25.6,5.96,4/15,-,-,-,-,England
20,Mudassar Bukhari,2011-2011,6,6,288,4,252,5,50.40,57.6,5.25,2/65,-,-,-,-,Netherlands
21,AF Buurman,2011-2011,2,-,0,-,-,-,-,-,-,-,-,-,-,3,Netherlands
22,RW Chakabva,2011-2011,5,-,0,-,-,-,-,-,-,-,-,-,-,3,Zimbabwe
23,S Chanderpaul,2011-2011,5,-,0,-,-,-,-,-,-,-,-,-,-,-,West Indies
24,PP Chawla,2011-2011,3,3,168,-,174,4,43.50,42.0,6.21,2/47,-,-,-,-,India
25,E Chigumbura,2011-2011,6,3,48,-,59,-,-,-,7.37,-,-,-,-,3,Zimbabwe
26,MJ Clarke,2011-2011,7,2,48,-,40,-,-,-,5.00,-,-,-,-,2,Australia
27,PD Collingwood,2011-2011,4,4,138,-,116,1,116.00,138.0,5.04,1/46,-,-,-,1,England
