,country,runs
0,Australia,2757
1,Pakistan,1934
2,India,2432
3,Sri Lanka,1503
4,England,3059
5,Afghanistan,1716
6,Bangladesh,2145
7,South Africa,1838
8,New Zealand,2023
9,West Indies,1834
