,Country,SR,No. Of Players,Average SR
0,Australia,1427.33,16,89.21
1,Pakistan,1319.77,14,94.27
2,England,1325.49,13,101.96
3,Sri Lanka,979.67,16,61.23
4,India,1325.71,16,82.86
5,Afghanistan,1337.41,17,78.67
6,Bangladesh,1275.22,14,91.09
7,South Africa,1062.61,15,70.84
8,New Zealand,1077.04,14,76.93
9,West Indies,1372.68,16,85.79
