,country,Wickets
0,Pakistan,60
1,India,74
2,Sri Lanka,34
3,England,90
4,Afghanistan,47
5,Bangladesh,59
6,South Africa,60
7,New Zealand,82
8,West Indies,54
9,Australia,76
