Country,SR,No. Of Players,Average SR
Australia,362.3,16,22.6
Pakistan,478.2,14,29.9
England,297.5,13,18.6
Sri Lanka,509.1,16,31.8
India,301.4,16,18.8
Afghanistan,550.0,17,34.4
Bangladesh,686.6,14,42.9
South Africa,328.7,15,20.5
New Zealand,332.0,14,20.8
West Indies,435.6,16,27.2
