,player,Country,Balls,Runs,Wickets,SR
0,AD Mathews,Sri Lanka,12,6,1,12.0
1,Mohammed Shami,India,211,193,14,15.0
2,V Shankar,India,32,22,2,16.0
3,Shaheen Shah Afridi,Pakistan,283,234,16,17.6
4,AJ Finch,Australia,18,20,1,18.0
5,MA Starc,Australia,554,502,27,20.5
6,Soumya Sarkar,Bangladesh,84,91,4,21.0
7,KW Richardson,Australia,106,109,5,21.2
8,Mustafizur Rahman,Bangladesh,433,484,20,21.6
9,JDS Neesham,New Zealand,327,292,15,21.8
10,AD Russell,West Indies,114,101,5,22.8
11,LH Ferguson,New Zealand,502,409,21,23.9
12,SPD Smith,Australia,24,32,1,24.0
13,Mohammad Amir,Pakistan,438,358,17,25.7
14,Mohammad Saifuddin,Bangladesh,348,417,13,26.7
15,D Pretorius,South Africa,138,94,5,27.6
16,JJ Bumrah,India,504,371,18,28.0
17,L Ngidi,South Africa,198,211,7,28.2
18,SL Malinga,Sri Lanka,370,373,13,28.4
19,Dawlat Zadran,Afghanistan,234,288,8,29.2
20,CH Morris,South Africa,382,341,13,29.3
21,CR Brathwaite,West Indies,264,323,9,29.3
22,JP Behrendorff,Australia,265,227,9,29.4
23,MA Wood,England,538,463,18,29.8
24,JE Root,England,60,55,2,30.0
25,Aftab Alam,Afghanistan,121,115,4,30.2
26,JC Archer,England,605,461,20,30.2
27,LE Plunkett,England,336,272,11,30.5
28,B Kumar,India,310,269,10,31.0
29,CR Woakes,England,510,446,16,31.8
30,KAJ Roach,West Indies,198,121,6,33.0
31,SS Cottrell,West Indies,402,392,12,33.5
32,AL Phehlukwayo,South Africa,371,336,11,33.7
33,MP Stoinis,Australia,240,244,7,34.2
34,MJ Henry,New Zealand,482,392,14,34.4
35,N Pradeep,Sri Lanka,174,157,5,34.8
36,TA Boult,New Zealand,594,479,17,34.9
37,Wahab Riaz,Pakistan,400,400,11,36.3
38,PJ Cummins,Australia,517,427,14,36.9
39,YS Chahal,India,444,442,12,37.0
40,Shadab Khan,Pakistan,348,320,9,38.6
41,O Thomas,West Indies,349,380,9,38.7
42,A Zampa,Australia,198,236,5,39.6
43,Shakib Al Hasan,Bangladesh,444,399,11,40.3
44,Imran Tahir,South Africa,456,374,11,41.4
45,JDF Vandersay,Sri Lanka,42,50,1,42.0
46,K Rabada,South Africa,468,397,11,42.5
47,BA Stokes,England,305,246,7,43.5
48,Mohammad Nabi,Afghanistan,436,335,10,43.6
49,Gulbadin Naib,Afghanistan,394,420,9,43.7
50,DM de Silva,Sri Lanka,222,197,5,44.4
51,KS Williamson,New Zealand,90,64,2,45.0
52,CH Gayle,West Indies,90,80,2,45.0
53,JO Holder,West Indies,367,343,8,45.8
54,HH Pandya,India,474,447,10,47.4
55,Shoaib Malik,Pakistan,48,47,1,48.0
56,Sayed Shirzad,Afghanistan,48,56,1,48.0
57,Mujeeb Ur Rahman,Afghanistan,347,259,7,49.5
58,AU Rashid,England,552,526,11,50.1
59,C de Grandhomme,New Zealand,306,212,6,51.0
60,I Udana,Sri Lanka,309,296,6,51.5
61,MM Ali,England,258,230,5,51.6
62,CAK Rajitha,Sri Lanka,108,123,2,54.0
63,JP Duminy,South Africa,54,61,1,54.0
64,TG Southee,New Zealand,54,70,1,54.0
65,RA Jadeja,India,120,74,2,60.0
66,ST Gabriel,West Indies,123,173,2,61.5
67,MJ Santner,New Zealand,402,323,6,67.0
68,Mehidy Hasan Miraz,Bangladesh,402,341,6,67.0
69,Kuldeep Yadav,India,402,337,6,67.0
70,NM Lyon,Australia,204,181,3,68.0
71,NM Coulter-Nile,Australia,282,280,4,70.5
72,Rashid Khan,Afghanistan,431,416,6,71.8
73,AK Markram,South Africa,72,76,1,72.0
74,Mosaddek Hossain,Bangladesh,216,215,3,72.0
75,Rahmat Shah,Afghanistan,78,69,1,78.0
76,Mohammad Hafeez,Pakistan,192,189,2,96.0
77,Hasan Ali,Pakistan,198,256,2,99.0
78,Rubel Hossain,Bangladesh,102,131,1,102.0
79,Imad Wasim,Pakistan,234,188,2,117.0
80,FA Allen,West Indies,126,122,1,126.0
81,Hamid Hassan,Afghanistan,156,122,1,156.0
82,NLTC Perera,Sri Lanka,242,207,1,242.0
83,Mashrafe Mortaza,Bangladesh,336,361,1,336.0
