,player,Country,Runs,HS,Avg,SR
126,Ikram Alikhil,Afghanistan,142,86,28.4,57.72
127,Hashmatullah Shahidi,Afghanistan,197,76,24.62,56.44
128,KAJ Roach,West Indies,28,14*,28.0,53.84
129,TA Boult,New Zealand,10,4,10.0,52.63
130,Kuldeep Yadav,India,1,1*,0.0,50.0
131,B Kumar,India,2,2,1.0,50.0
132,D Pretorius,South Africa,3,2,1.5,50.0
133,Mohammad Shahzad,Afghanistan,7,7,3.5,46.66
134,TG Southee,New Zealand,7,7*,0.0,43.75
135,KD Karthik,India,14,8,7.0,41.17
136,SL Malinga,Sri Lanka,11,4,2.2,39.28
137,BMAJ Mendis,Sri Lanka,19,18,6.33,37.25
138,PSP Handscomb,Australia,4,4,4.0,33.33
139,Mohammed Shami,India,2,1,0.66,33.33
140,A Zampa,Australia,1,1,1.0,33.33
141,Dawlat Zadran,Afghanistan,11,6,2.75,32.35
142,ST Gabriel,West Indies,3,3*,3.0,30.0
143,O Thomas,West Indies,13,6*,6.5,27.65
144,Shaheen Shah Afridi,Pakistan,1,1*,0.0,16.66
145,Mustafizur Rahman,Bangladesh,1,1,0.33,14.28
146,N Pradeep,Sri Lanka,1,1*,0.5,8.33
