,player,Country,Runs,HS,Avg,SR
0,Hasan Ali,Pakistan,43,32,21.5,179.16
1,FA Allen,West Indies,51,51,25.5,154.54
2,LE Plunkett,England,62,27*,62.0,151.21
3,GJ Maxwell,Australia,177,46*,22.12,150.0
4,Sayed Shirzad,Afghanistan,25,25,25.0,147.05
5,NM Coulter-Nile,Australia,98,92,32.66,136.11
6,RA Jadeja,India,77,77,77.0,130.5
7,Wahab Riaz,Pakistan,88,45,17.6,127.53
8,IS Sodhi,New Zealand,5,5,5.0,125.0
9,AD Russell,West Indies,36,21,12.0,124.13
10,JC Buttler,England,312,103,34.66,122.83
11,CH Morris,South Africa,74,42,24.66,121.31
12,Mohammad Saifuddin,Bangladesh,87,51*,29.0,120.83
13,AU Rashid,England,45,25,11.25,118.42
14,Imad Wasim,Pakistan,162,49*,54.0,118.24
15,Aftab Alam,Afghanistan,14,14,7.0,116.66
16,JJ Roy,England,443,153,63.28,115.36
17,HH Pandya,India,226,48,32.28,112.43
18,Mehidy Hasan Miraz,Bangladesh,37,12,12.33,112.12
19,MM Ali,England,75,31*,18.75,111.94
20,EJG Morgan,England,371,148,41.22,111.07
21,MDKJ Perera,Sri Lanka,273,78,39.0,110.97
22,Shadab Khan,Pakistan,43,20*,14.33,110.25
23,Litton Das,Bangladesh,184,94*,46.0,110.17
24,JP Behrendorff,Australia,12,11*,6.0,109.09
25,JO Holder,West Indies,170,51,24.28,108.97
26,Mosaddek Hossain,Bangladesh,117,35,19.5,106.36
27,CR Brathwaite,West Indies,154,101,30.8,106.2
28,WIA Fernando,Sri Lanka,203,104,50.75,105.72
29,AT Carey,Australia,375,85,62.5,104.16
30,S Dhawan,India,125,117,62.5,103.3
31,AJ Finch,Australia,507,153,50.7,102.01
32,SO Hetmyer,West Indies,257,54,36.71,101.58
33,Soumya Sarkar,Bangladesh,166,42,20.75,101.21
34,Rashid Khan,Afghanistan,105,35,11.66,100.96
35,C de Grandhomme,New Zealand,190,64,23.75,100.52
36,N Pooran,West Indies,367,118,52.42,100.27
37,DM Bravo,West Indies,19,19,9.5,100.0
38,JJ Bumrah,India,1,1*,0.0,100.0
39,Asif Ali,Pakistan,19,14,9.5,100.0
40,KW Richardson,Australia,1,1*,0.0,100.0
41,YS Chahal,India,5,5,5.0,100.0
42,RG Sharma,India,648,140,81.0,98.33
43,C Munro,New Zealand,125,58*,25.0,97.65
44,Sabbir Rahman,Bangladesh,36,36,18.0,97.29
45,JP Duminy,South Africa,70,45,17.5,97.22
46,Mashrafe Mortaza,Bangladesh,34,15,8.5,97.14
47,Mujeeb Ur Rahman,Afghanistan,28,13,9.33,96.55
48,Shakib Al Hasan,Bangladesh,606,124*,86.57,96.03
49,NLTC Perera,Sri Lanka,61,27,10.16,95.31
50,Haris Sohail,Pakistan,198,89,39.6,94.73
51,Hazratullah Zazai,Afghanistan,96,34,19.2,94.11
52,V Kohli,India,443,82,55.37,94.05
53,BA Stokes,England,465,89,66.42,93.18
54,JM Bairstow,England,532,111,48.36,92.84
55,Mushfiqur Rahim,Bangladesh,367,102*,52.42,92.67
56,MA Wood,England,11,10*,5.5,91.66
57,HE van der Dussen,South Africa,311,95,62.2,90.4
58,CR Woakes,England,134,40,16.75,89.93
59,Mahmudullah,Bangladesh,219,69,43.8,89.75
60,F du Plessis,South Africa,387,100,64.5,89.58
61,JE Root,England,556,107,61.77,89.53
62,MA Starc,Australia,68,29,11.33,89.47
63,DA Warner,Australia,647,166,71.88,89.36
64,RR Pant,India,116,48,29.0,89.23
65,Najibullah Zadran,Afghanistan,230,51,28.75,88.8
66,Mohammad Hafeez,Pakistan,253,84,31.62,88.77
67,CH Gayle,West Indies,242,87,30.25,88.32
68,UT Khawaja,Australia,316,89,35.11,88.26
69,MS Dhoni,India,273,56*,45.5,87.78
70,Babar Azam,Pakistan,474,101*,67.71,87.77
71,HDRL Thirimanne,Sri Lanka,143,53,35.75,87.73
72,Sarfaraz Ahmed,Pakistan,143,55,28.6,87.19
73,Asghar Afghan,Afghanistan,154,44,25.66,87.0
74,Q de Kock,South Africa,305,68,38.12,86.89
75,DA Miller,South Africa,136,38,34.0,86.62
76,SPD Smith,Australia,379,85,37.9,85.94
77,AL Phehlukwayo,South Africa,133,46*,33.25,85.25
78,MJ Guptill,New Zealand,186,73*,20.66,84.16
79,Mohammad Mithun,Bangladesh,47,26,15.66,83.92
80,K Rabada,South Africa,58,31*,29.0,82.85
81,Fakhar Zaman,Pakistan,186,62,23.25,81.93
82,Rubel Hossain,Bangladesh,9,9,9.0,81.81
83,RAS Lakmal,Sri Lanka,27,15*,27.0,81.81
84,E Lewis,West Indies,131,70,26.2,81.36
85,KM Jadhav,India,80,52,40.0,80.8
86,Samiullah Shinwari,Afghanistan,74,49*,74.0,80.43
87,NM Lyon,Australia,8,5*,8.0,80.0
88,Gulbadin Naib,Afghanistan,194,47,21.55,79.83
89,JDS Neesham,New Zealand,232,97*,33.14,78.91
90,Mohammad Amir,Pakistan,11,8,5.5,78.57
91,JM Vince,England,40,26,13.33,78.43
92,SW Ambris,West Indies,36,31,18.0,78.26
93,AD Mathews,Sri Lanka,244,113,40.66,77.7
94,KL Rahul,India,361,111,45.12,77.46
95,V Shankar,India,58,29,29.0,77.33
96,MP Stoinis,Australia,87,22,14.5,76.99
97,AR Nurse,West Indies,20,19*,20.0,76.92
98,Imam-ul-Haq,Pakistan,305,100,38.12,76.25
99,LRPL Taylor,New Zealand,350,82,38.88,75.26
100,AK Markram,South Africa,140,45,23.33,75.26
101,PJ Cummins,Australia,51,23*,7.28,75.0
102,TAM Siriwardana,Sri Lanka,3,3,3.0,75.0
103,KS Williamson,New Zealand,578,148,82.57,74.96
104,SE Marsh,Australia,26,23,13.0,74.28
105,Shoaib Malik,Pakistan,8,8,2.66,72.72
106,MJ Santner,New Zealand,72,17*,24.0,72.72
107,MJ Henry,New Zealand,18,7,4.5,72.0
108,TWM Latham,New Zealand,155,57,19.37,71.75
109,Tamim Iqbal,Bangladesh,235,62,29.37,71.64
110,FDM Karunaratne,Sri Lanka,222,97,37.0,71.38
111,SD Hope,West Indies,274,96,34.25,70.43
112,SS Cottrell,West Indies,33,15,8.25,70.21
113,Imran Tahir,South Africa,11,10*,5.5,68.75
114,BKG Mendis,Sri Lanka,143,46,20.42,67.13
115,LH Ferguson,New Zealand,4,4*,4.0,66.66
116,Rahmat Shah,Afghanistan,254,62,28.22,65.12
117,HM Amla,South Africa,203,80*,40.6,64.85
118,Mohammad Nabi,Afghanistan,107,52,11.88,64.07
119,L Ngidi,South Africa,7,6*,7.0,63.63
120,Hamid Hassan,Afghanistan,15,7*,5.0,62.5
121,DM de Silva,Sri Lanka,108,29*,27.0,62.06
122,Noor Ali Zadran,Afghanistan,63,32,21.0,61.16
123,HM Nicholls,New Zealand,91,55,22.75,61.07
124,I Udana,Sri Lanka,45,17,7.5,60.0
125,JC Archer,England,13,7*,3.25,59.09
