,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
0,Aftab Alam,2019-2019,3,3,121,2,115,4,28.75,30.2,5.70,3/45,-,-,-,-,Afghanistan
1,MM Ali,2019-2019,5,5,258,-,230,5,46.00,51.6,5.34,3/50,-,-,-,3,England
2,FA Allen,2019-2019,3,3,126,-,122,1,122.00,126.0,5.80,1/44,-,-,-,5,West Indies
3,SW Ambris,2019-2019,2,-,0,-,-,-,-,-,-,-,-,-,-,-,West Indies
4,HM Amla,2019-2019,7,-,0,-,-,-,-,-,-,-,-,-,-,4,South Africa
5,Asghar Afghan,2019-2019,6,-,0,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
6,Asif Ali,2019-2019,2,-,0,-,-,-,-,-,-,-,-,-,-,1,Pakistan
7,Babar Azam,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,5,Pakistan
8,CR Brathwaite,2019-2019,8,7,264,-,323,9,35.88,29.3,7.34,4/63,-,-,-,1,West Indies
9,DM Bravo,2019-2019,3,-,0,-,-,-,-,-,-,-,-,-,-,-,West Indies
10,SS Cottrell,2019-2019,9,9,402,2,392,12,32.66,33.5,5.85,4/56,-,-,-,8,West Indies
11,NM Coulter-Nile,2019-2019,5,5,282,2,280,4,70.00,70.5,5.95,2/58,-,-,-,-,Australia
12,Dawlat Zadran,2019-2019,5,5,234,1,288,8,36.00,29.2,7.38,3/85,-,-,-,1,Afghanistan
13,Q de Kock,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,9,South Africa
14,DM de Silva,2019-2019,7,6,222,-,197,5,39.40,44.4,5.32,3/32,-,-,-,-,Sri Lanka
15,S Dhawan,2019-2019,2,-,0,-,-,-,-,-,-,-,-,-,-,-,India
16,JP Duminy,2019-2019,5,4,54,-,61,1,61.00,54.0,6.77,1/15,-,-,-,2,South Africa
17,F du Plessis,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,10,South Africa
18,Fakhar Zaman,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,3,Pakistan
19,N Pradeep,2019-2019,3,3,174,2,157,5,31.40,34.8,5.41,4/31,-,-,-,-,Sri Lanka
20,WIA Fernando,2019-2019,4,-,0,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka
21,ST Gabriel,2019-2019,3,3,123,-,173,2,86.50,61.5,8.43,2/49,-,-,-,-,West Indies
22,CH Gayle,2019-2019,9,4,90,-,80,2,40.00,45.0,5.33,1/8,-,-,-,4,West Indies
23,Gulbadin Naib,2019-2019,9,9,394,2,420,9,46.66,43.7,6.39,3/68,-,-,-,1,Afghanistan
24,Hamid Hassan,2019-2019,5,5,156,3,122,1,122.00,156.0,4.69,1/53,-,-,-,1,Afghanistan
25,Haris Sohail,2019-2019,5,-,0,-,-,-,-,-,-,-,-,-,-,2,Pakistan
26,Hasan Ali,2019-2019,4,4,198,-,256,2,128.00,99.0,7.75,1/67,-,-,-,-,Pakistan
27,Hashmatullah Shahidi,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,2,Afghanistan
28,Hazratullah Zazai,2019-2019,5,-,0,-,-,-,-,-,-,-,-,-,-,2,Afghanistan
29,BE Hendricks,2019-2019,2,1,30,1,25,-,-,-,5.00,-,-,-,-,-,South Africa
30,SO Hetmyer,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,2,West Indies
31,JO Holder,2019-2019,9,8,367,4,343,8,42.87,45.8,5.60,3/42,-,-,-,6,West Indies
32,SD Hope,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,16,West Indies
33,Ikram Alikhil,2019-2019,7,-,0,-,-,-,-,-,-,-,-,-,2,2,Afghanistan
34,Imad Wasim,2019-2019,6,5,234,-,188,2,94.00,117.0,4.82,2/48,-,-,-,1,Pakistan
35,Imam-ul-Haq,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,2,Pakistan
36,Imran Tahir,2019-2019,9,8,456,-,374,11,34.00,41.4,4.92,4/29,-,-,-,2,South Africa
37,KM Jadhav,2019-2019,6,3,36,-,34,-,-,-,5.66,-,-,-,-,4,India
38,FDM Karunaratne,2019-2019,7,1,6,-,7,-,-,-,7.00,-,-,-,-,2,Sri Lanka
39,UT Khawaja,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,5,Australia
40,Kuldeep Yadav,2019-2019,7,7,402,2,337,6,56.16,67.0,5.02,2/32,-,-,-,-,India
41,RAS Lakmal,2019-2019,3,3,96,-,102,-,-,-,6.37,-,-,-,-,-,Sri Lanka
