,player,span,Mat,Inns,NO,Runs,HS,Avg,SR,100's,50's,0's,Country
65,Mushfiqur Rahim,2019-2019,8,8,1,367,102*,52.42,92.67,1,2,-,Bangladesh
66,Mustafizur Rahman,2019-2019,8,4,1,1,1,0.33,14.28,-,-,2,Bangladesh
67,Najibullah Zadran,2019-2019,8,8,0,230,51,28.75,88.80,-,1,-,Afghanistan
68,L Ngidi,2019-2019,4,2,1,7,6*,7.00,63.63,-,-,-,South Africa
69,Noor Ali Zadran,2019-2019,3,3,0,63,32,21.00,61.16,-,-,1,Afghanistan
70,AR Nurse,2019-2019,4,2,1,20,19*,20.00,76.92,-,-,-,West Indies
71,MDKJ Perera,2019-2019,7,7,0,273,78,39.00,110.97,-,3,-,Sri Lanka
72,NLTC Perera,2019-2019,6,6,0,61,27,10.16,95.31,-,-,-,Sri Lanka
73,AL Phehlukwayo,2019-2019,9,7,3,133,46*,33.25,85.25,-,-,1,South Africa
74,N Pooran,2019-2019,9,8,1,367,118,52.42,100.27,1,2,-,West Indies
75,D Pretorius,2019-2019,3,2,0,3,2,1.50,50.00,-,-,-,South Africa
76,K Rabada,2019-2019,9,4,2,58,31*,29.00,82.85,-,-,-,South Africa
77,Rahmat Shah,2019-2019,9,9,0,254,62,28.22,65.12,-,1,1,Afghanistan
78,CAK Rajitha,2019-2019,2,-,0,-,-,-,0.00,-,-,-,Sri Lanka
79,Rashid Khan,2019-2019,9,9,0,105,35,11.66,100.96,-,-,1,Afghanistan
80,KW Richardson,2019-2019,2,1,1,1,1*,-,100.00,-,-,-,Australia
81,KAJ Roach,2019-2019,4,2,1,28,14*,28.00,53.84,-,-,-,West Indies
82,Rubel Hossain,2019-2019,2,1,0,9,9,9.00,81.81,-,-,-,Bangladesh
83,AD Russell,2019-2019,4,3,0,36,21,12.00,124.13,-,-,1,West Indies
84,Sabbir Rahman,2019-2019,2,2,0,36,36,18.00,97.29,-,-,1,Bangladesh
85,Samiullah Shinwari,2019-2019,3,3,2,74,49*,74.00,80.43,-,-,-,Afghanistan
86,Sarfaraz Ahmed,2019-2019,8,8,3,143,55,28.60,87.19,-,1,-,Pakistan
87,Sayed Shirzad,2019-2019,1,1,0,25,25,25.00,147.05,-,-,-,Afghanistan
88,Shadab Khan,2019-2019,7,6,3,43,20*,14.33,110.25,-,-,1,Pakistan
89,Shaheen Shah Afridi,2019-2019,5,2,2,1,1*,-,16.66,-,-,-,Pakistan
90,T Shamsi,2019-2019,2,-,0,-,-,-,0.00,-,-,-,South Africa
91,V Shankar,2019-2019,3,3,1,58,29,29.00,77.33,-,-,-,India
92,Shakib Al Hasan,2019-2019,8,8,1,606,124*,86.57,96.03,2,5,-,Bangladesh
93,Shoaib Malik,2019-2019,3,3,0,8,8,2.66,72.72,-,-,2,Pakistan
94,TAM Siriwardana,2019-2019,1,1,0,3,3,3.00,75.00,-,-,-,Sri Lanka
95,IS Sodhi,2019-2019,1,1,0,5,5,5.00,125.00,-,-,-,New Zealand
96,Soumya Sarkar,2019-2019,8,8,0,166,42,20.75,101.21,-,-,-,Bangladesh
97,TG Southee,2019-2019,1,1,1,7,7*,-,43.75,-,-,-,New Zealand
98,Tamim Iqbal,2019-2019,8,8,0,235,62,29.37,71.64,-,1,-,Bangladesh
99,HDRL Thirimanne,2019-2019,5,5,1,143,53,35.75,87.73,-,1,-,Sri Lanka
100,O Thomas,2019-2019,9,6,4,13,6*,6.50,27.65,-,-,-,West Indies
101,I Udana,2019-2019,7,7,1,45,17,7.50,60.00,-,-,1,Sri Lanka
102,HE van der Dussen,2019-2019,9,6,1,311,95,62.20,90.40,-,3,-,South Africa
103,JDF Vandersay,2019-2019,1,-,0,-,-,-,0.00,-,-,-,Sri Lanka
104,JM Vince,2019-2019,3,3,0,40,26,13.33,78.43,-,-,1,England
105,Wahab Riaz,2019-2019,8,6,1,88,45,17.60,127.53,-,-,-,Pakistan
106,A Zampa,2019-2019,4,2,1,1,1,1.00,33.33,-,-,-,Australia
107,JC Archer,2019-2019,11,7,3,13,7*,3.25,59.09,-,-,1,England
108,JM Bairstow,2019-2019,11,11,0,532,111,48.36,92.84,2,2,2,England
109,JP Behrendorff,2019-2019,5,3,1,12,11*,6.00,109.09,-,-,1,Australia
110,TA Boult,2019-2019,10,4,3,10,4,10.00,52.63,-,-,-,New Zealand
111,JJ Bumrah,2019-2019,9,3,3,1,1*,-,100.00,-,-,-,India
112,JC Buttler,2019-2019,11,9,0,312,103,34.66,122.83,1,2,-,England
113,AT Carey,2019-2019,10,9,3,375,85,62.50,104.16,-,3,-,Australia
114,YS Chahal,2019-2019,8,1,0,5,5,5.00,100.00,-,-,-,India
115,PJ Cummins,2019-2019,10,8,1,51,23*,7.28,75.00,-,-,1,Australia
116,C de Grandhomme,2019-2019,10,8,0,190,64,23.75,100.52,-,2,1,New Zealand
117,MS Dhoni,2019-2019,9,8,2,273,56*,45.50,87.78,-,2,-,India
118,LH Ferguson,2019-2019,9,2,1,4,4*,4.00,66.66,-,-,1,New Zealand
119,AJ Finch,2019-2019,10,10,0,507,153,50.70,102.01,2,3,1,Australia
120,MJ Guptill,2019-2019,10,10,1,186,73*,20.66,84.16,-,1,2,New Zealand
121,PSP Handscomb,2019-2019,1,1,0,4,4,4.00,33.33,-,-,-,Australia
122,MJ Henry,2019-2019,9,5,1,18,7,4.50,72.00,-,-,-,New Zealand
123,RA Jadeja,2019-2019,2,1,0,77,77,77.00,130.50,-,1,-,India
124,KD Karthik,2019-2019,3,2,0,14,8,7.00,41.17,-,-,-,India
125,V Kohli,2019-2019,9,9,1,443,82,55.37,94.05,-,5,-,India
126,B Kumar,2019-2019,6,2,0,2,2,1.00,50.00,-,-,1,India
127,TWM Latham,2019-2019,10,9,1,155,57,19.37,71.75,-,1,1,New Zealand
128,NM Lyon,2019-2019,4,3,2,8,5*,8.00,80.00,-,-,-,Australia
129,GJ Maxwell,2019-2019,10,10,2,177,46*,22.12,150.00,-,-,1,Australia
130,EJG Morgan,2019-2019,11,10,1,371,148,41.22,111.07,1,1,-,England
131,JDS Neesham,2019-2019,10,8,1,232,97*,33.14,78.91,-,1,-,New Zealand
132,HM Nicholls,2019-2019,4,4,0,91,55,22.75,61.07,-,1,1,New Zealand
133,HH Pandya,2019-2019,9,9,2,226,48,32.28,112.43,-,-,1,India
134,RR Pant,2019-2019,4,4,0,116,48,29.00,89.23,-,-,-,India
135,LE Plunkett,2019-2019,7,5,4,62,27*,62.00,151.21,-,-,-,England
136,KL Rahul,2019-2019,9,9,1,361,111,45.12,77.46,1,2,1,India
137,AU Rashid,2019-2019,11,5,1,45,25,11.25,118.42,-,-,1,England
138,JE Root,2019-2019,11,11,2,556,107,61.77,89.53,2,3,-,England
139,JJ Roy,2019-2019,8,7,0,443,153,63.28,115.36,1,4,-,England
140,MJ Santner,2019-2019,10,8,5,72,17*,24.00,72.72,-,-,-,New Zealand
141,RG Sharma,2019-2019,9,9,1,648,140,81.00,98.33,5,1,-,India
142,SPD Smith,2019-2019,10,10,0,379,85,37.90,85.94,-,4,-,Australia
143,MA Starc,2019-2019,10,8,2,68,29,11.33,89.47,-,-,1,Australia
144,MP Stoinis,2019-2019,8,7,1,87,22,14.50,76.99,-,-,2,Australia
145,BA Stokes,2019-2019,11,10,3,465,89,66.42,93.18,-,5,-,England
146,LRPL Taylor,2019-2019,10,9,0,350,82,38.88,75.26,-,3,-,New Zealand
147,DA Warner,2019-2019,10,10,1,647,166,71.88,89.36,3,3,-,Australia
148,KS Williamson,2019-2019,10,9,2,578,148,82.57,74.96,2,2,-,New Zealand
149,CR Woakes,2019-2019,11,10,2,134,40,16.75,89.93,-,-,-,England
150,MA Wood,2019-2019,10,4,2,11,10*,5.50,91.66,-,-,2,England
