,player,span,Mat,Inns,NO,Runs,HS,Avg,SR,100's,50's,0's,Country
0,Aftab Alam,2019-2019,3,3,1,14,14,7.00,116.66,-,-,1,Afghanistan
1,MM Ali,2019-2019,5,5,1,75,31*,18.75,111.94,-,-,-,England
2,FA Allen,2019-2019,3,3,1,51,51,25.50,154.54,-,1,1,West Indies
3,SW Ambris,2019-2019,2,2,0,36,31,18.00,78.26,-,-,-,West Indies
4,HM Amla,2019-2019,7,7,2,203,80*,40.60,64.85,-,2,-,South Africa
5,Asghar Afghan,2019-2019,6,6,0,154,44,25.66,87.00,-,-,1,Afghanistan
6,Asif Ali,2019-2019,2,2,0,19,14,9.50,100.00,-,-,-,Pakistan
7,Babar Azam,2019-2019,8,8,1,474,101*,67.71,87.77,1,3,-,Pakistan
8,CR Brathwaite,2019-2019,8,6,1,154,101,30.80,106.20,1,-,-,West Indies
9,DM Bravo,2019-2019,3,2,0,19,19,9.50,100.00,-,-,1,West Indies
10,SS Cottrell,2019-2019,9,5,1,33,15,8.25,70.21,-,-,1,West Indies
11,NM Coulter-Nile,2019-2019,5,3,0,98,92,32.66,136.11,-,1,-,Australia
12,Dawlat Zadran,2019-2019,5,5,1,11,6,2.75,32.35,-,-,1,Afghanistan
13,Q de Kock,2019-2019,9,9,1,305,68,38.12,86.89,-,3,-,South Africa
14,DM de Silva,2019-2019,7,7,3,108,29*,27.00,62.06,-,-,1,Sri Lanka
15,S Dhawan,2019-2019,2,2,0,125,117,62.50,103.30,1,-,-,India
16,JP Duminy,2019-2019,5,4,0,70,45,17.50,97.22,-,-,-,South Africa
17,F du Plessis,2019-2019,9,8,2,387,100,64.50,89.58,1,3,-,South Africa
18,Fakhar Zaman,2019-2019,8,8,0,186,62,23.25,81.93,-,1,2,Pakistan
19,N Pradeep,2019-2019,3,3,1,1,1*,0.50,8.33,-,-,2,Sri Lanka
20,WIA Fernando,2019-2019,4,4,0,203,104,50.75,105.72,1,-,-,Sri Lanka
21,ST Gabriel,2019-2019,3,2,1,3,3*,3.00,30.00,-,-,1,West Indies
22,CH Gayle,2019-2019,9,8,0,242,87,30.25,88.32,-,2,1,West Indies
23,Gulbadin Naib,2019-2019,9,9,0,194,47,21.55,79.83,-,-,-,Afghanistan
24,Hamid Hassan,2019-2019,5,5,2,15,7*,5.00,62.50,-,-,1,Afghanistan
25,Haris Sohail,2019-2019,5,5,0,198,89,39.60,94.73,-,2,-,Pakistan
26,Hasan Ali,2019-2019,4,3,1,43,32,21.50,179.16,-,-,-,Pakistan
27,Hashmatullah Shahidi,2019-2019,8,8,0,197,76,24.62,56.44,-,2,1,Afghanistan
28,Hazratullah Zazai,2019-2019,5,5,0,96,34,19.20,94.11,-,-,1,Afghanistan
29,BE Hendricks,2019-2019,2,-,0,-,-,-,0.00,-,-,-,South Africa
30,SO Hetmyer,2019-2019,9,8,1,257,54,36.71,101.58,-,2,-,West Indies
31,JO Holder,2019-2019,9,7,0,170,51,24.28,108.97,-,1,1,West Indies
32,SD Hope,2019-2019,9,8,0,274,96,34.25,70.43,-,3,-,West Indies
33,Ikram Alikhil,2019-2019,7,7,2,142,86,28.40,57.72,-,1,-,Afghanistan
34,Imad Wasim,2019-2019,6,5,2,162,49*,54.00,118.24,-,-,-,Pakistan
35,Imam-ul-Haq,2019-2019,8,8,0,305,100,38.12,76.25,1,1,-,Pakistan
36,Imran Tahir,2019-2019,9,4,2,11,10*,5.50,68.75,-,-,2,South Africa
37,KM Jadhav,2019-2019,6,5,3,80,52,40.00,80.80,-,1,-,India
38,FDM Karunaratne,2019-2019,7,7,1,222,97,37.00,71.38,-,2,1,Sri Lanka
39,UT Khawaja,2019-2019,9,9,0,316,89,35.11,88.26,-,2,-,Australia
40,Kuldeep Yadav,2019-2019,7,2,2,1,1*,-,50.00,-,-,-,India
41,RAS Lakmal,2019-2019,3,3,2,27,15*,27.00,81.81,-,-,-,Sri Lanka
42,E Lewis,2019-2019,5,5,0,131,70,26.20,81.36,-,2,1,West Indies
43,Litton Das,2019-2019,5,5,1,184,94*,46.00,110.17,-,1,-,Bangladesh
44,Mahmudullah,2019-2019,7,6,1,219,69,43.80,89.75,-,1,-,Bangladesh
45,SL Malinga,2019-2019,7,5,0,11,4,2.20,39.28,-,-,-,Sri Lanka
46,AK Markram,2019-2019,8,6,0,140,45,23.33,75.26,-,-,-,South Africa
47,SE Marsh,2019-2019,2,2,0,26,23,13.00,74.28,-,-,-,Australia
48,Mashrafe Mortaza,2019-2019,8,5,1,34,15,8.50,97.14,-,-,-,Bangladesh
49,AD Mathews,2019-2019,7,7,1,244,113,40.66,77.70,1,1,2,Sri Lanka
50,Mehidy Hasan Miraz,2019-2019,7,5,2,37,12,12.33,112.12,-,-,-,Bangladesh
51,BKG Mendis,2019-2019,7,7,0,143,46,20.42,67.13,-,-,1,Sri Lanka
52,BMAJ Mendis,2019-2019,3,3,0,19,18,6.33,37.25,-,-,1,Sri Lanka
53,DA Miller,2019-2019,6,4,0,136,38,34.00,86.62,-,-,-,South Africa
54,Mohammad Amir,2019-2019,8,3,1,11,8,5.50,78.57,-,-,1,Pakistan
55,Mohammad Hafeez,2019-2019,8,8,0,253,84,31.62,88.77,-,1,-,Pakistan
56,Mohammad Mithun,2019-2019,3,3,0,47,26,15.66,83.92,-,-,1,Bangladesh
57,Mohammad Nabi,2019-2019,9,9,0,107,52,11.88,64.07,-,1,1,Afghanistan
58,Mohammad Saifuddin,2019-2019,7,5,2,87,51*,29.00,120.83,-,1,1,Bangladesh
59,Mohammad Shahzad,2019-2019,2,2,0,7,7,3.50,46.66,-,-,1,Afghanistan
60,Mohammed Shami,2019-2019,4,3,0,2,1,0.66,33.33,-,-,1,India
61,CH Morris,2019-2019,8,4,1,74,42,24.66,121.31,-,-,-,South Africa
62,Mosaddek Hossain,2019-2019,7,6,0,117,35,19.50,106.36,-,-,-,Bangladesh
63,Mujeeb Ur Rahman,2019-2019,7,6,3,28,13,9.33,96.55,-,-,2,Afghanistan
64,C Munro,2019-2019,6,6,1,125,58*,25.00,97.65,-,1,1,New Zealand
