,player,span,Mat,Inns,NO,Runs,HS,Avg,SR,100's,50's,0's,Country
0,KJ Abbott,2015-2015,4,1,0,12,12,12.00,63.15,-,-,-,South Africa
1,Afsar Zazai,2015-2015,6,6,0,36,19,6.00,36.36,-,-,2,Afghanistan
2,Aftab Alam,2015-2015,1,1,0,14,14,14.00,116.66,-,-,-,Afghanistan
3,Ahmed Shehzad,2015-2015,7,7,0,227,93,32.42,72.52,-,2,1,Pakistan
4,MM Ali,2015-2015,5,5,0,192,128,38.40,105.49,1,-,-,England
5,Amjad Ali,2015-2015,6,6,0,96,45,16.00,51.89,-,-,-,United Arab Emirates
6,Amjad Javed,2015-2015,6,6,1,170,56,34.00,87.17,-,1,-,United Arab Emirates
7,Anamul Haque,2015-2015,3,2,0,58,29,29.00,59.18,-,-,-,Bangladesh
8,JM Anderson,2015-2015,6,3,1,9,8,4.50,60.00,-,-,1,England
9,Arafat Sunny,2015-2015,1,1,1,3,3*,-,100.00,-,-,-,Bangladesh
10,Asghar Afghan,2015-2015,5,5,0,72,54,14.40,75.78,-,1,-,Afghanistan
11,GJ Bailey,2015-2015,1,1,0,55,55,55.00,79.71,-,1,-,Australia
12,A Balbirnie,2015-2015,6,6,0,236,97,39.33,90.76,-,2,-,Ireland
13,GS Ballance,2015-2015,4,4,0,36,10,9.00,50.70,-,-,-,England
14,F Behardien,2015-2015,4,2,2,74,64*,-,205.55,-,1,-,South Africa
15,IR Bell,2015-2015,6,6,1,262,63,52.40,77.28,-,3,-,England
16,SJ Benn,2015-2015,3,2,1,10,9*,10.00,142.85,-,-,-,West Indies
17,AR Berenger,2015-2015,6,6,0,53,22,8.83,47.74,-,-,-,United Arab Emirates
18,RD Berrington,2015-2015,6,6,0,139,50,23.16,75.95,-,1,-,Scotland
19,RS Bopara,2015-2015,1,-,0,-,-,-,0.00,-,-,-,England
20,DM Bravo,2015-2015,2,2,1,49,49*,49.00,62.82,-,-,1,West Indies
21,SCJ Broad,2015-2015,6,4,1,13,9,4.33,65.00,-,-,1,England
22,JC Buttler,2015-2015,6,5,1,141,65,35.25,135.57,-,1,-,England
23,JL Carter,2015-2015,5,4,1,113,50*,37.66,70.62,-,1,-,West Indies
24,RW Chakabva,2015-2015,4,4,0,64,35,16.00,66.66,-,-,-,Zimbabwe
25,PVD Chameera,2015-2015,2,2,2,14,12*,-,100.00,-,-,-,Sri Lanka
26,LD Chandimal,2015-2015,3,1,1,52,52*,-,216.66,-,1,-,Sri Lanka
27,J Charles,2015-2015,2,2,0,58,55,29.00,126.08,-,1,-,West Indies
28,TL Chatara,2015-2015,6,5,2,23,16,7.66,65.71,-,-,1,Zimbabwe
29,CJ Chibhabha,2015-2015,4,4,0,98,64,24.50,66.21,-,1,-,Zimbabwe
30,E Chigumbura,2015-2015,4,4,1,78,35,26.00,101.29,-,-,-,Zimbabwe
