,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
58,DPMD Jayawardene,2015-2015,7,-,0,-,-,-,-,-,-,-,-,-,-,1,Sri Lanka
59,CJ Jordan,2015-2015,2,2,98,2,72,4,18.00,24.5,4.40,2/13,-,-,-,2,England
60,EC Joyce,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,3,Ireland
61,Kamran Shazad,2015-2015,1,1,48,-,59,1,59.00,48.0,7.37,1/59,-,-,-,-,United Arab Emirates
62,TP Kamungozi,2015-2015,3,3,126,-,124,1,124.00,126.0,5.90,1/34,-,-,-,-,Zimbabwe
63,FDM Karunaratne,2015-2015,4,-,0,-,-,-,-,-,-,-,-,-,-,1,Sri Lanka
64,PHT Kaushal,2015-2015,1,1,36,-,25,-,-,-,4.16,-,-,-,-,-,Sri Lanka
65,Khurram Khan,2015-2015,6,2,42,-,52,-,-,-,7.42,-,-,-,-,1,United Arab Emirates
66,Krishna Chandran,2015-2015,5,4,150,-,177,1,177.00,150.0,7.08,1/59,-,-,-,3,United Arab Emirates
67,KMDN Kulasekara,2015-2015,3,3,96,-,111,4,27.75,24.0,6.93,3/20,-,-,-,2,Sri Lanka
68,B Kumar,2015-2015,1,1,30,-,19,1,19.00,30.0,3.80,1/19,-,-,-,-,India
69,RAS Lakmal,2015-2015,4,4,214,1,218,7,31.14,30.5,6.11,2/36,-,-,-,3,Sri Lanka
70,MA Leask,2015-2015,2,2,44,-,70,-,-,-,9.54,-,-,-,-,2,Scotland
71,AR McBrine,2015-2015,3,3,168,1,145,3,48.33,56.0,5.17,2/63,-,-,-,-,Ireland
72,MJ McClenaghan,2015-2015,1,1,48,-,68,-,-,-,8.50,-,-,-,-,-,New Zealand
73,MW Machan,2015-2015,6,3,78,-,102,1,102.00,78.0,7.84,1/46,-,-,-,1,Scotland
74,CS MacLeod,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,4,Scotland
75,Mahmudullah,2015-2015,6,5,144,1,135,1,135.00,144.0,5.62,1/31,-,-,-,2,Bangladesh
76,SL Malinga,2015-2015,7,7,382,1,354,12,29.50,31.8,5.56,3/35,-,-,-,3,Sri Lanka
77,MR Marsh,2015-2015,3,3,78,-,69,5,13.80,15.6,5.30,5/33,1,-,-,-,Australia
78,H Masakadza,2015-2015,6,6,98,-,101,1,101.00,98.0,6.18,1/39,-,-,-,1,Zimbabwe
79,Mashrafe Mortaza,2015-2015,5,5,282,2,250,7,35.71,40.2,5.31,3/20,-,-,-,1,Bangladesh
80,AD Mathews,2015-2015,7,5,214,1,207,6,34.50,35.6,5.80,3/41,-,-,-,1,Sri Lanka
81,S Matsikenyeri,2015-2015,1,-,0,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe
82,BMAJ Mendis,2015-2015,2,2,30,-,18,2,9.00,15.0,3.60,2/5,-,-,-,3,Sri Lanka
83,NO Miller,2015-2015,1,1,39,-,48,1,48.00,39.0,7.38,1/48,-,-,-,-,West Indies
84,AF Milne,2015-2015,6,6,236,1,199,5,39.80,47.2,5.05,2/56,-,-,-,4,New Zealand
85,SF Mire,2015-2015,5,4,120,-,138,2,69.00,60.0,6.90,2/39,-,-,-,-,Zimbabwe
86,Mirwais Ashraf,2015-2015,2,2,103,3,63,2,31.50,51.5,3.66,2/32,-,-,-,-,Afghanistan
