,player,Country,Balls,Runs,Wickets,SR
130,MJ Clarke,Australia,30,14,1,30.0
131,B Kumar,India,30,19,1,30.0
132,DL Vettori,New Zealand,455,307,15,30.3
133,RAS Lakmal,Sri Lanka,214,218,7,30.5
134,Imran Tahir,South Africa,458,323,15,30.5
135,Shapoor Zadran,Afghanistan,306,265,10,30.6
136,Mohammad Irfan,Pakistan,246,186,8,30.7
137,Sohail Khan,Pakistan,371,364,12,30.9
138,SL Malinga,Sri Lanka,382,354,12,31.8
139,SR Thompson,Ireland,96,104,3,32.0
140,AR Cusack,Ireland,225,172,7,32.1
141,TG Southee,New Zealand,486,472,15,32.4
142,Taskin Ahmed,Bangladesh,306,325,9,34.0
143,JP Duminy,South Africa,210,202,6,35.0
144,R Ashwin,India,462,330,13,35.5
145,AD Mathews,Sri Lanka,214,207,6,35.6
146,TL Chatara,Zimbabwe,358,342,10,35.8
147,Ehsan Adil,Pakistan,72,62,2,36.0
148,Sohaib Maqsood,Pakistan,36,24,1,36.0
149,JR Hazlewood,Australia,257,176,7,36.7
150,DW Steyn,South Africa,413,346,11,37.5
151,Rahat Ali,Pakistan,264,192,7,37.7
152,Mohammad Naveed,United Arab Emirates,302,307,8,37.7
153,Rubel Hossain,Bangladesh,303,298,8,37.8
154,GJ Maxwell,Australia,228,218,6,38.0
155,Hamid Hassan,Afghanistan,306,261,8,38.2
156,SC Williams,Zimbabwe,270,286,7,38.5
157,JO Holder,West Indies,348,351,9,38.6
158,NO Miller,West Indies,39,48,1,39.0
159,TM Dilshan,Sri Lanka,200,163,5,40.0
160,AC Evans,Scotland,240,215,6,40.0
161,Mashrafe Mortaza,Bangladesh,282,250,7,40.2
162,Dawlat Zadran,Afghanistan,246,248,6,41.0
163,Amjad Javed,United Arab Emirates,288,313,7,41.1
164,NLTC Perera,Sri Lanka,249,280,6,41.5
165,Haris Sohail,Pakistan,126,133,3,42.0
166,JC Tredwell,England,42,25,1,42.0
167,DR Smith,West Indies,42,27,1,42.0
168,VD Philander,South Africa,171,135,4,42.7
169,Shakib Al Hasan,Bangladesh,346,298,8,43.2
170,I Wardlaw,Scotland,261,310,6,43.5
171,RA Jadeja,India,400,357,9,44.4
172,CR Woakes,England,226,234,5,45.2
173,AF Milne,New Zealand,236,199,5,47.2
174,Kamran Shazad,United Arab Emirates,48,59,1,48.0
175,MC Sorensen,Ireland,144,200,3,48.0
176,KJ O'Brien,Ireland,299,408,6,49.8
177,MJ Henry,New Zealand,103,86,2,51.5
178,Mirwais Ashraf,Afghanistan,103,63,2,51.5
179,Mohammad Tauqir,United Arab Emirates,263,231,5,52.6
180,WD Parnell,South Africa,54,85,1,54.0
181,Gulbadin Naib,Afghanistan,54,53,1,54.0
182,JE Root,England,54,56,1,54.0
183,JM Anderson,England,276,245,5,55.2
184,AR McBrine,Ireland,168,145,3,56.0
185,RML Taylor,Scotland,114,102,2,57.0
186,MM Ali,England,228,201,4,57.0
187,GH Dockrell,Ireland,288,288,5,57.6
188,Nawroz Mangal,Afghanistan,6,14,1,6.0
189,SF Mire,Zimbabwe,120,138,2,60.0
190,T Panyangara,Zimbabwe,334,392,5,66.8
191,JF Mooney,Ireland,270,285,4,67.5
192,RM Haq,Scotland,204,166,3,68.0
193,HMRKB Herath,Sri Lanka,209,156,3,69.6
194,MN Samuels,West Indies,211,177,3,70.3
195,SCJ Broad,England,284,254,4,71.0
196,MW Machan,Scotland,78,102,1,78.0
197,E Chigumbura,Zimbabwe,78,93,1,78.0
198,SR Watson,Australia,156,171,2,78.0
199,SJ Benn,West Indies,174,184,2,87.0
200,SK Raina,India,90,64,1,90.0
201,Mohammad Nabi,Afghanistan,274,261,3,91.3
202,Nasir Aziz,United Arab Emirates,96,100,1,96.0
203,Sabbir Rahman,Bangladesh,96,104,1,96.0
204,H Masakadza,Zimbabwe,98,101,1,98.0
