,Country,SR,No. Of Players,Average SR
0,Australia,1379.6,15,91.97
1,Pakistan,1024.38,15,68.29
2,England,936.22,15,62.41
3,Sri Lanka,1619.39,19,85.23
4,India,800.75,12,66.73
5,Afghanistan,950.24,16,59.39
6,Bangladesh,1054.35,15,70.29
7,South Africa,1401.91,14,100.14
8,New Zealand,1020.72,13,78.52
9,United Arab Emirates,792.77,15,52.85
10,Ireland,1142.11,13,87.85
11,West Indies,1324.08,15,88.27
12,Scotland,982.65,14,70.19
13,Zimbabwe,1219.45,14,87.1
