Country,SR,No. Of Players,Average SR
Australia,179.2,13,16.29
Pakistan,160.6,13,14.6
England,153.6,15,13.96
Kenya,56.0,12,5.09
India,155.6,14,14.15
Scotland,44.0,11,4.0
Bangladesh,192.2,14,17.47
West Indies,58.0,11,5.27
New Zealand,207.3,13,18.85
Zimbabwe,123.0,11,11.18
