,Country,SR,No. Of Players,Average SR
0,Australia,1387.97,13,106.77
1,Pakistan,1915.34,13,147.33
2,England,1458.54,15,97.24
3,Kenya,770.85,12,64.24
4,India,1746.87,14,124.78
5,Scotland,783.86,11,71.26
6,Bangladesh,1309.79,14,93.56
7,West Indies,1295.73,11,117.79
8,New Zealand,1273.24,13,97.94
9,Zimbabwe,789.87,11,71.81
