,player,Country,Balls,Runs,Wickets,SR
0,ML Hayden,Australia,0,-,-,-
1,AC Gilchrist,Australia,0,-,-,-
2,HH Gibbs,South Africa,0,-,-,-
3,G Gambhir,India,0,-,-,-
4,PG Fulton,New Zealand,0,-,-,-
5,KC Sangakkara,Sri Lanka,0,-,-,-
6,V Sehwag,India,6,20,-,-
7,MS Dhoni,India,0,-,-,-
8,AB de Villiers,South Africa,0,-,-,-
9,Salman Butt,Pakistan,0,-,-,-
10,OA Shah,England,0,-,-,-
11,RG Sharma,India,0,-,-,-
12,LPC Silva,Sri Lanka,12,11,-,-
13,Aftab Ahmed,Bangladesh,0,-,-,-
14,DF Watts,Scotland,0,-,-,-
15,Misbah-ul-Haq,Pakistan,0,-,-,-
16,GC Smith,South Africa,6,16,-,-
17,SO Tikolo,Kenya,6,25,-,-
18,BRM Taylor,Zimbabwe,0,-,-,-
19,MV Boucher,South Africa,0,-,-,-
20,T Taibu,Zimbabwe,24,41,-,-
21,BJ Haddin,Australia,0,-,-,-
22,Younis Khan,Pakistan,0,-,-,-
23,J Mubarak,Sri Lanka,2,8,-,-
24,Mushfiqur Rahim,Bangladesh,0,-,-,-
25,Nadif Chowdhury,Bangladesh,0,-,-,-
26,Nazimuddin,Bangladesh,0,-,-,-
27,A Nel,South Africa,24,23,-,-
28,CD McMillan,New Zealand,0,-,-,-
29,NL McCullum,New Zealand,0,-,-,-
30,BB McCullum,New Zealand,0,-,-,-
31,RT Ponting,Australia,0,-,-,-
32,JM Kemp,South Africa,0,-,-,-
33,Kamran Akmal,Pakistan,0,-,-,-
34,Junaid Siddique,Bangladesh,0,-,-,-
35,YK Pathan,India,6,5,-,-
36,KP Pietersen,England,0,-,-,-
37,DPMD Jayawardene,Sri Lanka,0,-,-,-
38,Imran Nazir,Pakistan,0,-,-,-
39,MEK Hussey,Australia,0,-,-,-
40,BJ Hodge,Australia,12,20,-,-
41,KD Karthik,India,0,-,-,-
42,JN Snape,England,6,12,-,-
43,RR Watson,Scotland,0,-,-,-
44,DR Smith,West Indies,12,37,-,-
45,AA Obanda,Kenya,0,-,-,-
46,DS Smith,West Indies,0,-,-,-
47,T Mishra,Kenya,0,-,-,-
48,S Matsikenyeri,Zimbabwe,0,-,-,-
49,NFI McCallum,Scotland,0,-,-,-
50,RJ Kirtley,England,6,17,-,-
51,GM Hamilton,Scotland,0,-,-,-
52,CH Gayle,West Indies,24,22,-,-
53,Farhad Reza,Bangladesh,18,35,-,-
54,RV Uthappa,India,0,-,-,-
55,JP Duminy,South Africa,0,-,-,-
56,KM Dabengwa,Zimbabwe,12,29,-,-
57,L Vincent,New Zealand,0,-,-,-
58,S Chanderpaul,West Indies,0,-,-,-
59,DR Brown,Scotland,24,44,-,-
60,LJ Wright,England,0,-,-,-
61,DJ Bravo,West Indies,28,73,-,-
62,RL Bhudia,Kenya,4,17,-,-
63,Alok Kapali,Bangladesh,12,23,-,-
64,CO Obuya,Kenya,0,-,-,-
65,DO Obuya,Kenya,0,-,-,-
66,WU Tharanga,Sri Lanka,0,-,-,-
67,LRPL Taylor,New Zealand,0,-,-,-
68,CJO Smith,Scotland,0,-,-,-
69,V Sibanda,Zimbabwe,0,-,-,-
70,VS Solanki,England,0,-,-,-
71,MN Samuels,West Indies,12,21,-,-
72,D Ramdin,West Indies,0,-,-,-
73,MJ Prior,England,0,-,-,-
74,NS Poonia,Scotland,0,-,-,-
75,MA Ouma,Kenya,0,-,-,-
76,DBL Powell,West Indies,42,62,-,-
77,Tamim Iqbal,Bangladesh,0,-,-,-
78,PJ Ongondo,Kenya,42,75,-,-
79,LN Onyango,Kenya,24,61,-,-
80,RP Singh,India,144,152,12,12.0
81,RM Haq,Scotland,24,49,2,12.0
82,SL Malinga,Sri Lanka,84,100,7,12.0
83,SR Clark,Australia,144,144,12,12.0
84,CT Tremlett,England,24,45,2,12.0
85,JAR Blain,Scotland,24,23,2,12.0
86,JD Nel,Scotland,24,25,2,12.0
87,Umar Gul,Pakistan,166,155,13,12.7
88,DL Vettori,New Zealand,144,128,11,13.0
89,IK Pathan,India,132,149,10,13.2
90,M Morkel,South Africa,120,120,9,13.3
91,Shahid Afridi,Pakistan,168,188,12,14.0
92,SM Pollock,South Africa,117,167,8,14.6
93,R Rampaul,West Indies,48,87,3,16.0
94,Mohammad Asif,Pakistan,161,212,10,16.1
95,Abdur Razzak,Bangladesh,114,121,7,16.2
96,TM Dilshan,Sri Lanka,33,36,2,16.5
97,NW Bracken,Australia,134,142,8,16.7
98,Shakib Al Hasan,Bangladesh,102,116,6,17.0
99,CRD Fernando,Sri Lanka,102,104,6,17.0
100,Yuvraj Singh,India,18,38,1,18.0
101,TM Odoyo,Kenya,36,36,2,18.0
102,MG Johnson,Australia,144,153,8,18.0
103,CP Schofield,England,77,92,4,19.2
104,ST Jayasuriya,Sri Lanka,77,102,4,19.2
105,VD Philander,South Africa,78,104,4,19.5
106,Harbhajan Singh,India,138,182,7,19.7
107,MR Gillespie,New Zealand,119,156,6,19.8
108,JA Morkel,South Africa,60,77,3,20.0
109,JJ van der Wath,South Africa,120,150,6,20.0
110,SR Watson,Australia,20,19,1,20.0
111,JS Patel,New Zealand,41,69,2,20.5
112,SE Bond,New Zealand,144,180,7,20.5
113,B Lee,Australia,144,171,7,20.5
114,PD Collingwood,England,42,82,2,21.0
115,AD Mascarenhas,England,84,122,4,21.0
116,GB Brent,Zimbabwe,42,53,2,21.0
117,MJ Clarke,Australia,42,72,2,21.0
118,WPUJC Vaas,Sri Lanka,108,100,5,21.6
119,A Flintoff,England,108,110,5,21.6
120,Joginder Sharma,India,87,138,4,21.7
121,CS Martin,New Zealand,90,114,4,22.5
122,SCJ Broad,England,114,184,5,22.8
123,Mohammad Hafeez,Pakistan,114,163,5,22.8
124,Sohail Tanvir,Pakistan,138,161,6,23.0
125,S Sreesanth,India,138,183,6,23.0
126,Mahmudullah,Bangladesh,48,47,2,24.0
127,P Utseya,Zimbabwe,48,55,2,24.0
128,MF Maharoof,Sri Lanka,30,50,1,30.0
129,JM Anderson,England,90,102,3,30.0
130,T Mupariwa,Zimbabwe,30,45,1,30.0
131,NN Odhiambo,Kenya,30,65,1,30.0
132,G Wijekoon,Sri Lanka,66,101,2,33.0
133,SB Styris,New Zealand,66,74,2,33.0
134,Syed Rasel,Bangladesh,102,123,3,34.0
135,M Ntini,South Africa,72,109,2,36.0
136,FH Edwards,West Indies,36,54,1,36.0
137,CJ Chibhabha,Zimbabwe,36,41,1,36.0
138,AB Agarkar,India,48,75,1,48.0
139,Mohammad Ashraful,Bangladesh,48,86,1,48.0
140,Mashrafe Mortaza,Bangladesh,106,160,2,53.0
141,Yasir Arafat,Pakistan,54,72,1,54.0
142,H Masakadza,Zimbabwe,6,9,1,6.0
143,RR Sarwan,West Indies,12,10,2,6.0
144,E Chigumbura,Zimbabwe,42,51,7,6.0
145,DL Maddy,England,18,26,3,6.0
146,A Symonds,Australia,71,115,1,71.0
147,JDP Oram,New Zealand,78,146,1,78.0
148,JK Kamande,Kenya,24,48,3,8.0
149,CM Wright,Scotland,24,29,3,8.0
150,Fawad Alam,Pakistan,18,29,2,9.0
151,Shoaib Malik,Pakistan,18,18,2,9.0
