,player,Country,Runs,HS,Avg,SR
53,WU Tharanga,Sri Lanka,74,37,14.80,123.33
54,SM Pollock,South Africa,16,16*,8.00,123.07
55,TM Dilshan,Sri Lanka,65,38,21.66,122.64
56,RL Bhudia,Kenya,11,11*,-,122.22
57,BB McCullum,New Zealand,139,45,27.80,121.92
58,GC Smith,South Africa,94,41,18.80,120.51
59,CP Schofield,England,24,9*,24.00,120.0
60,VS Solanki,England,67,43,33.50,119.64
61,Shakib Al Hasan,Bangladesh,67,19,13.40,119.64
62,SB Styris,New Zealand,70,42,14.00,118.64
63,S Chanderpaul,West Indies,48,37,24.00,117.07
64,LJ Wright,England,43,24,8.60,116.21
65,LPC Silva,Sri Lanka,70,38,17.50,114.75
66,D Ramdin,West Indies,8,6*,8.00,114.28
67,IK Pathan,India,34,20,17.00,113.33
68,RR Sarwan,West Indies,17,12,8.50,113.33
69,RV Uthappa,India,113,50,18.83,113.0
70,Kamran Akmal,Pakistan,44,16,14.66,112.82
71,JP Duminy,South Africa,36,36,18.00,112.5
72,AD Mascarenhas,England,19,15*,6.33,111.76
73,MJ Prior,England,69,32,23.00,111.29
74,MEK Hussey,Australia,65,37,21.66,108.33
75,SL Malinga,Sri Lanka,13,12*,13.00,108.33
76,Younis Khan,Pakistan,127,51,18.14,107.62
77,AB de Villiers,South Africa,50,18,12.50,106.38
78,Nadif Chowdhury,Bangladesh,17,12,8.50,106.25
79,H Masakadza,Zimbabwe,54,27,27.00,105.88
80,PG Fulton,New Zealand,77,25,19.25,105.47
81,KC Sangakkara,Sri Lanka,104,30,20.80,105.05
82,L Vincent,New Zealand,117,32,19.50,100.86
83,RP Singh,India,1,1*,-,100.0
84,DBL Powell,West Indies,1,1*,-,100.0
85,DJ Bravo,West Indies,2,2,2.00,100.0
86,JJ van der Wath,South Africa,11,9*,11.00,100.0
87,LN Onyango,Kenya,4,4*,-,100.0
88,Mashrafe Mortaza,Bangladesh,35,12,8.75,100.0
89,Mahmudullah,Bangladesh,17,16,8.50,100.0
90,DS Smith,West Indies,86,51,43.00,100.0
91,MV Boucher,South Africa,88,36,29.33,94.62
92,RT Ponting,Australia,61,27,20.33,93.84
93,CJ Chibhabha,Zimbabwe,20,15,10.00,90.9
94,SE Bond,New Zealand,11,5,2.75,84.61
95,WPUJC Vaas,Sri Lanka,33,21,33.00,80.48
96,Harbhajan Singh,India,8,7,4.00,80.0
97,JK Kamande,Kenya,18,14,9.00,78.26
98,Mushfiqur Rahim,Bangladesh,14,6*,7.00,77.77
99,Syed Rasel,Bangladesh,7,6,3.50,77.77
100,CM Wright,Scotland,14,14,14.00,77.77
101,MJ Clarke,Australia,3,3,1.50,75.0
102,Tamim Iqbal,Bangladesh,56,32,11.20,71.79
103,SCJ Broad,England,5,3*,2.50,71.42
104,CO Obuya,Kenya,20,18,10.00,71.42
105,Salman Butt,Pakistan,74,21,14.80,70.47
106,TM Odoyo,Kenya,18,18,18.00,69.23
107,Farhad Reza,Bangladesh,23,19,11.50,67.64
108,AA Obanda,Kenya,25,21,12.50,67.56
109,NS Poonia,Scotland,4,4,4.00,66.66
110,VD Philander,South Africa,8,6,4.00,66.66
111,SO Tikolo,Kenya,4,4,2.00,66.66
112,T Mishra,Kenya,16,16,8.00,64.0
113,JN Snape,England,7,7,7.00,63.63
114,MR Gillespie,New Zealand,10,7,10.00,62.5
115,BJ Haddin,Australia,11,6,11.00,55.0
116,DO Obuya,Kenya,18,18,9.00,52.94
117,Nazimuddin,Bangladesh,12,11,3.00,52.17
118,RR Watson,Scotland,2,2,2.00,50.0
119,RJ Kirtley,England,2,2*,-,50.0
120,GM Hamilton,Scotland,2,2,2.00,50.0
121,RM Haq,Scotland,14,14,14.00,45.16
122,Alok Kapali,Bangladesh,19,14,9.50,44.18
123,PJ Ongondo,Kenya,3,3,1.50,42.85
124,Abdur Razzak,Bangladesh,7,5,3.50,36.84
125,NN Odhiambo,Kenya,5,5,2.50,35.71
126,S Matsikenyeri,Zimbabwe,5,3,2.50,35.71
127,M Morkel,South Africa,1,1*,-,33.33
128,NL McCullum,New Zealand,1,1,1.00,25.0
129,DR Brown,Scotland,1,1,1.00,20.0
130,T Taibu,Zimbabwe,2,2,1.00,20.0
131,G Wijekoon,Sri Lanka,1,1*,1.00,20.0
