,player,Country,Runs,HS,Avg,SR
0,Mohammad Asif,Pakistan,4,4*,-,400.0
1,Sohail Tanvir,Pakistan,12,12,12.00,300.0
2,DR Smith,West Indies,30,29,15.00,272.72
3,M Ntini,South Africa,4,4*,-,200.0
4,MG Johnson,Australia,14,9,14.00,200.0
5,Shahid Afridi,Pakistan,91,39,15.16,197.82
6,CH Gayle,West Indies,117,117,58.50,195.0
7,Yuvraj Singh,India,148,70,29.60,194.73
8,YK Pathan,India,15,15,15.00,187.5
9,JD Nel,Scotland,13,13*,-,185.71
10,MN Samuels,West Indies,33,27,16.50,183.33
11,Yasir Arafat,Pakistan,44,17,22.00,183.33
12,Mohammad Ashraful,Bangladesh,87,61,17.40,181.25
13,CD McMillan,New Zealand,163,57,40.75,181.11
14,DL Vettori,New Zealand,36,17*,9.00,180.0
15,J Mubarak,Sri Lanka,105,46*,52.50,169.35
16,KP Pietersen,England,178,79,35.60,161.81
17,ST Jayasuriya,Sri Lanka,154,88,30.80,160.41
18,CJO Smith,Scotland,11,11,11.00,157.14
19,JDP Oram,New Zealand,92,35,23.00,155.93
20,S Sreesanth,India,20,19*,-,153.84
21,DPMD Jayawardene,Sri Lanka,159,65,39.75,152.88
22,AC Gilchrist,Australia,169,45,33.80,150.89
23,A Symonds,Australia,107,43,35.66,150.7
24,Imran Nazir,Pakistan,147,59,24.50,150.0
25,E Chigumbura,Zimbabwe,12,8,12.00,150.0
26,Junaid Siddique,Bangladesh,71,71,71.00,144.89
27,ML Hayden,Australia,265,73*,88.33,144.8
28,RG Sharma,India,88,50*,-,144.26
29,HH Gibbs,South Africa,110,90*,55.00,142.85
30,B Lee,Australia,17,13,8.50,141.66
31,DL Maddy,England,113,50,28.25,141.25
32,Misbah-ul-Haq,Pakistan,218,66*,54.50,139.74
33,JA Morkel,South Africa,120,43,40.00,139.53
34,JM Kemp,South Africa,173,89*,86.50,139.51
35,V Sehwag,India,133,68,26.60,138.54
36,LRPL Taylor,New Zealand,118,62,29.50,137.2
37,AB Agarkar,India,15,14,7.50,136.36
38,BJ Hodge,Australia,82,36,41.00,134.42
39,NW Bracken,Australia,4,4,4.00,133.33
40,PD Collingwood,England,86,37,17.20,132.3
41,A Flintoff,England,70,31,17.50,132.07
42,DF Watts,Scotland,46,46,46.00,131.42
43,P Utseya,Zimbabwe,13,13*,-,130.0
44,V Sibanda,Zimbabwe,52,29,26.00,130.0
45,G Gambhir,India,227,75,37.83,129.71
46,Aftab Ahmed,Bangladesh,162,62*,40.50,129.6
47,MS Dhoni,India,154,45,30.80,128.33
48,BRM Taylor,Zimbabwe,107,60*,107.00,127.38
49,KD Karthik,India,28,17,9.33,127.27
50,OA Shah,England,103,36,20.60,127.16
51,Mohammad Hafeez,Pakistan,99,32,16.50,126.92
52,Shoaib Malik,Pakistan,195,57,39.00,126.62
