,country,Wickets
0,Australia,39.0
1,Pakistan,51.0
2,England,28.0
3,Kenya,6.0
4,India,41.0
5,Scotland,9.0
6,Bangladesh,21.0
7,West Indies,6.0
8,New Zealand,33.0
9,Zimbabwe,14.0
