,country,runs
0,Australia,798.0
1,Pakistan,1055.0
2,England,786.0
3,Kenya,142.0
4,India,984.0
5,Scotland,107.0
6,Bangladesh,594.0
7,West Indies,342.0
8,New Zealand,834.0
9,Zimbabwe,265.0
