,player,span,Mat,Inns,NO,Runs,HS,Avg,SR,100's,50's,0's,Country
71,AC Gilchrist,2007-2007,6,6,1,169,45,33.80,150.89,-,-,-,Australia
72,MR Gillespie,2007-2007,6,3,2,10,7,10.00,62.50,-,-,-,New Zealand
73,BJ Haddin,2007-2007,2,2,1,11,6,11.00,55.00,-,-,-,Australia
74,Harbhajan Singh,2007-2007,7,2,0,8,7,4.00,80.00,-,-,-,India
75,ML Hayden,2007-2007,6,6,3,265,73*,88.33,144.80,-,4,-,Australia
76,BJ Hodge,2007-2007,6,3,1,82,36,41.00,134.42,-,-,-,Australia
77,MEK Hussey,2007-2007,6,3,0,65,37,21.66,108.33,-,-,-,Australia
78,Imran Nazir,2007-2007,7,7,1,147,59,24.50,150.00,-,1,-,Pakistan
79,ST Jayasuriya,2007-2007,5,5,0,154,88,30.80,160.41,-,2,2,Sri Lanka
80,DPMD Jayawardene,2007-2007,5,5,1,159,65,39.75,152.88,-,1,-,Sri Lanka
81,Joginder Sharma,2007-2007,4,-,0,-,-,-,0.00,-,-,-,India
82,MG Johnson,2007-2007,6,3,2,14,9,14.00,200.00,-,-,-,Australia
83,Junaid Siddique,2007-2007,1,1,0,71,71,71.00,144.89,-,1,-,Bangladesh
84,Kamran Akmal,2007-2007,7,5,2,44,16,14.66,112.82,-,-,1,Pakistan
85,KD Karthik,2007-2007,4,3,0,28,17,9.33,127.27,-,-,1,India
86,JM Kemp,2007-2007,5,5,3,173,89*,86.50,139.51,-,1,-,South Africa
87,B Lee,2007-2007,6,3,1,17,13,8.50,141.66,-,-,-,Australia
88,BB McCullum,2007-2007,6,6,1,139,45,27.80,121.92,-,-,-,New Zealand
89,NL McCullum,2007-2007,1,1,0,1,1,1.00,25.00,-,-,-,New Zealand
90,CD McMillan,2007-2007,6,5,1,163,57,40.75,181.11,-,1,-,New Zealand
91,DL Maddy,2007-2007,4,4,0,113,50,28.25,141.25,-,1,-,England
92,MF Maharoof,2007-2007,2,1,0,-,0,0.00,0.00,-,-,1,Sri Lanka
93,Mahmudullah,2007-2007,2,2,0,17,16,8.50,100.00,-,-,-,Bangladesh
94,SL Malinga,2007-2007,5,2,1,13,12*,13.00,108.33,-,-,-,Sri Lanka
95,CS Martin,2007-2007,4,-,0,-,-,-,0.00,-,-,-,New Zealand
96,AD Mascarenhas,2007-2007,5,5,2,19,15*,6.33,111.76,-,-,2,England
97,Mashrafe Mortaza,2007-2007,5,4,0,35,12,8.75,100.00,-,-,1,Bangladesh
98,Misbah-ul-Haq,2007-2007,7,7,3,218,66*,54.50,139.74,-,2,-,Pakistan
99,Mohammad Ashraful,2007-2007,5,5,0,87,61,17.40,181.25,-,1,-,Bangladesh
100,Mohammad Asif,2007-2007,7,1,1,4,4*,-,400.00,-,-,-,Pakistan
101,Mohammad Hafeez,2007-2007,6,6,0,99,32,16.50,126.92,-,-,-,Pakistan
102,JA Morkel,2007-2007,5,3,0,120,43,40.00,139.53,-,-,-,South Africa
103,M Morkel,2007-2007,5,1,1,1,1*,-,33.33,-,-,-,South Africa
104,J Mubarak,2007-2007,5,4,2,105,46*,52.50,169.35,-,-,1,Sri Lanka
105,Mushfiqur Rahim,2007-2007,5,4,2,14,6*,7.00,77.77,-,-,-,Bangladesh
106,Nadif Chowdhury,2007-2007,2,2,0,17,12,8.50,106.25,-,-,-,Bangladesh
107,Nazimuddin,2007-2007,4,4,0,12,11,3.00,52.17,-,-,2,Bangladesh
108,A Nel,2007-2007,1,-,0,-,-,-,0.00,-,-,-,South Africa
109,M Ntini,2007-2007,4,1,1,4,4*,-,200.00,-,-,-,South Africa
110,JDP Oram,2007-2007,6,5,1,92,35,23.00,155.93,-,-,-,New Zealand
111,JS Patel,2007-2007,2,2,1,-,0*,0.00,0.00,-,-,1,New Zealand
112,IK Pathan,2007-2007,7,6,4,34,20,17.00,113.33,-,-,-,India
113,YK Pathan,2007-2007,1,1,0,15,15,15.00,187.50,-,-,-,India
114,VD Philander,2007-2007,5,2,0,8,6,4.00,66.66,-,-,-,South Africa
115,KP Pietersen,2007-2007,5,5,0,178,79,35.60,161.81,-,1,-,England
116,SM Pollock,2007-2007,5,3,1,16,16*,8.00,123.07,-,-,2,South Africa
117,RT Ponting,2007-2007,4,4,1,61,27,20.33,93.84,-,-,-,Australia
118,Salman Butt,2007-2007,5,5,0,74,21,14.80,70.47,-,-,-,Pakistan
119,KC Sangakkara,2007-2007,5,5,0,104,30,20.80,105.05,-,-,-,Sri Lanka
120,CP Schofield,2007-2007,4,4,3,24,9*,24.00,120.00,-,-,-,England
121,V Sehwag,2007-2007,6,5,0,133,68,26.60,138.54,-,1,-,India
122,OA Shah,2007-2007,5,5,0,103,36,20.60,127.16,-,-,-,England
123,Shahid Afridi,2007-2007,7,6,0,91,39,15.16,197.82,-,-,1,Pakistan
124,Shakib Al Hasan,2007-2007,5,5,0,67,19,13.40,119.64,-,-,-,Bangladesh
125,RG Sharma,2007-2007,4,3,3,88,50*,-,144.26,-,1,-,India
126,Shoaib Malik,2007-2007,7,7,2,195,57,39.00,126.62,-,2,-,Pakistan
127,LPC Silva,2007-2007,5,5,1,70,38,17.50,114.75,-,-,-,Sri Lanka
128,RP Singh,2007-2007,7,1,1,1,1*,-,100.00,-,-,-,India
129,GC Smith,2007-2007,5,5,0,94,41,18.80,120.51,-,-,-,South Africa
130,Sohail Tanvir,2007-2007,6,1,0,12,12,12.00,300.00,-,-,-,Pakistan
131,VS Solanki,2007-2007,2,2,0,67,43,33.50,119.64,-,-,-,England
132,S Sreesanth,2007-2007,7,2,2,20,19*,-,153.84,-,-,-,India
133,SB Styris,2007-2007,6,5,0,70,42,14.00,118.64,-,-,-,New Zealand
134,Syed Rasel,2007-2007,5,3,1,7,6,3.50,77.77,-,-,-,Bangladesh
135,A Symonds,2007-2007,6,4,1,107,43,35.66,150.70,-,-,-,Australia
136,Tamim Iqbal,2007-2007,5,5,0,56,32,11.20,71.79,-,-,-,Bangladesh
137,LRPL Taylor,2007-2007,6,5,1,118,62,29.50,137.20,-,1,-,New Zealand
138,WU Tharanga,2007-2007,5,5,0,74,37,14.80,123.33,-,-,1,Sri Lanka
139,CT Tremlett,2007-2007,1,-,0,-,-,-,0.00,-,-,-,England
140,Umar Gul,2007-2007,7,2,1,-,0*,0.00,0.00,-,-,1,Pakistan
141,RV Uthappa,2007-2007,7,6,0,113,50,18.83,113.00,-,1,1,India
142,WPUJC Vaas,2007-2007,5,2,1,33,21,33.00,80.48,-,-,-,Sri Lanka
143,JJ van der Wath,2007-2007,5,2,1,11,9*,11.00,100.00,-,-,-,South Africa
144,DL Vettori,2007-2007,6,5,1,36,17*,9.00,180.00,-,-,1,New Zealand
145,L Vincent,2007-2007,6,6,0,117,32,19.50,100.86,-,-,-,New Zealand
146,SR Watson,2007-2007,1,-,0,-,-,-,0.00,-,-,-,Australia
147,G Wijekoon,2007-2007,3,2,1,1,1*,1.00,20.00,-,-,1,Sri Lanka
148,LJ Wright,2007-2007,5,5,0,43,24,8.60,116.21,-,-,2,England
149,Yasir Arafat,2007-2007,3,3,1,44,17,22.00,183.33,-,-,-,Pakistan
150,Younis Khan,2007-2007,7,7,0,127,51,18.14,107.62,-,1,-,Pakistan
151,Yuvraj Singh,2007-2007,6,5,0,148,70,29.60,194.73,-,2,-,India
