,player,span,Mat,Inns,NO,Runs,HS,Avg,SR,100's,50's,0's,Country
0,AB Agarkar,2007-2007,3,2,0,15,14,7.50,136.36,-,-,-,India
1,Alok Kapali,2007-2007,3,3,1,19,14,9.50,44.18,-,-,1,Bangladesh
2,RL Bhudia,2007-2007,1,1,1,11,11*,-,122.22,-,-,-,Kenya
3,JAR Blain,2007-2007,2,1,0,-,0,0.00,0.00,-,-,1,Scotland
4,DJ Bravo,2007-2007,2,2,1,2,2,2.00,100.00,-,-,-,West Indies
5,GB Brent,2007-2007,2,-,0,-,-,-,0.00,-,-,-,Zimbabwe
6,DR Brown,2007-2007,2,1,0,1,1,1.00,20.00,-,-,-,Scotland
7,S Chanderpaul,2007-2007,2,2,0,48,37,24.00,117.07,-,-,-,West Indies
8,CJ Chibhabha,2007-2007,2,2,0,20,15,10.00,90.90,-,-,-,Zimbabwe
9,E Chigumbura,2007-2007,2,2,1,12,8,12.00,150.00,-,-,-,Zimbabwe
10,KM Dabengwa,2007-2007,2,1,1,-,0*,-,0.00,-,-,-,Zimbabwe
11,JP Duminy,2007-2007,2,2,0,36,36,18.00,112.50,-,-,1,South Africa
12,FH Edwards,2007-2007,2,-,0,-,-,-,0.00,-,-,-,West Indies
13,Farhad Reza,2007-2007,3,2,0,23,19,11.50,67.64,-,-,-,Bangladesh
14,CH Gayle,2007-2007,2,2,0,117,117,58.50,195.00,1,-,1,West Indies
15,GM Hamilton,2007-2007,2,1,0,2,2,2.00,50.00,-,-,-,Scotland
16,RM Haq,2007-2007,2,1,0,14,14,14.00,45.16,-,-,-,Scotland
17,JK Kamande,2007-2007,2,2,0,18,14,9.00,78.26,-,-,-,Kenya
18,RJ Kirtley,2007-2007,1,1,1,2,2*,-,50.00,-,-,-,England
19,NFI McCallum,2007-2007,2,1,0,-,0,0.00,0.00,-,-,1,Scotland
20,H Masakadza,2007-2007,2,2,0,54,27,27.00,105.88,-,-,-,Zimbabwe
21,S Matsikenyeri,2007-2007,2,2,0,5,3,2.50,35.71,-,-,-,Zimbabwe
22,T Mishra,2007-2007,2,2,0,16,16,8.00,64.00,-,-,1,Kenya
23,T Mupariwa,2007-2007,2,-,0,-,-,-,0.00,-,-,-,Zimbabwe
24,JD Nel,2007-2007,2,1,1,13,13*,-,185.71,-,-,-,Scotland
25,AA Obanda,2007-2007,2,2,0,25,21,12.50,67.56,-,-,-,Kenya
26,CO Obuya,2007-2007,2,2,0,20,18,10.00,71.42,-,-,-,Kenya
27,DO Obuya,2007-2007,2,2,0,18,18,9.00,52.94,-,-,1,Kenya
28,NN Odhiambo,2007-2007,2,2,0,5,5,2.50,35.71,-,-,1,Kenya
29,TM Odoyo,2007-2007,2,1,0,18,18,18.00,69.23,-,-,-,Kenya
30,PJ Ongondo,2007-2007,2,2,0,3,3,1.50,42.85,-,-,1,Kenya
31,LN Onyango,2007-2007,1,1,1,4,4*,-,100.00,-,-,-,Kenya
32,MA Ouma,2007-2007,2,2,0,-,0,0.00,0.00,-,-,2,Kenya
33,NS Poonia,2007-2007,2,1,0,4,4,4.00,66.66,-,-,-,Scotland
34,DBL Powell,2007-2007,2,1,1,1,1*,-,100.00,-,-,-,West Indies
35,MJ Prior,2007-2007,3,3,0,69,32,23.00,111.29,-,-,-,England
36,D Ramdin,2007-2007,2,2,1,8,6*,8.00,114.28,-,-,-,West Indies
37,R Rampaul,2007-2007,2,-,0,-,-,-,0.00,-,-,-,West Indies
38,MN Samuels,2007-2007,2,2,0,33,27,16.50,183.33,-,-,-,West Indies
39,RR Sarwan,2007-2007,2,2,0,17,12,8.50,113.33,-,-,-,West Indies
40,V Sibanda,2007-2007,2,2,0,52,29,26.00,130.00,-,-,-,Zimbabwe
41,CJO Smith,2007-2007,2,1,0,11,11,11.00,157.14,-,-,-,Scotland
42,DR Smith,2007-2007,2,2,0,30,29,15.00,272.72,-,-,-,West Indies
43,DS Smith,2007-2007,2,2,0,86,51,43.00,100.00,-,1,-,West Indies
44,JN Snape,2007-2007,1,1,0,7,7,7.00,63.63,-,-,-,England
45,T Taibu,2007-2007,2,2,0,2,2,1.00,20.00,-,-,1,Zimbabwe
46,BRM Taylor,2007-2007,2,2,1,107,60*,107.00,127.38,-,1,-,Zimbabwe
47,SO Tikolo,2007-2007,2,2,0,4,4,2.00,66.66,-,-,1,Kenya
48,P Utseya,2007-2007,2,1,1,13,13*,-,130.00,-,-,-,Zimbabwe
49,RR Watson,2007-2007,2,1,0,2,2,2.00,50.00,-,-,-,Scotland
50,DF Watts,2007-2007,2,1,0,46,46,46.00,131.42,-,-,-,Scotland
51,CM Wright,2007-2007,2,1,0,14,14,14.00,77.77,-,-,-,Scotland
52,Abdur Razzak,2007-2007,5,4,2,7,5,3.50,36.84,-,-,1,Bangladesh
53,Aftab Ahmed,2007-2007,5,5,1,162,62*,40.50,129.60,-,1,-,Bangladesh
54,JM Anderson,2007-2007,4,1,1,-,0*,-,0.00,-,-,-,England
55,SE Bond,2007-2007,6,4,0,11,5,2.75,84.61,-,-,1,New Zealand
56,MV Boucher,2007-2007,5,3,0,88,36,29.33,94.62,-,-,-,South Africa
57,NW Bracken,2007-2007,6,1,0,4,4,4.00,133.33,-,-,-,Australia
58,SCJ Broad,2007-2007,5,3,1,5,3*,2.50,71.42,-,-,-,England
59,SR Clark,2007-2007,6,-,0,-,-,-,0.00,-,-,-,Australia
60,MJ Clarke,2007-2007,5,2,0,3,3,1.50,75.00,-,-,1,Australia
61,PD Collingwood,2007-2007,5,5,0,86,37,17.20,132.30,-,-,1,England
62,AB de Villiers,2007-2007,5,5,1,50,18,12.50,106.38,-,-,-,South Africa
63,MS Dhoni,2007-2007,7,6,1,154,45,30.80,128.33,-,-,-,India
64,TM Dilshan,2007-2007,5,4,1,65,38,21.66,122.64,-,-,-,Sri Lanka
65,Fawad Alam,2007-2007,1,-,0,-,-,-,0.00,-,-,-,Pakistan
66,CRD Fernando,2007-2007,5,2,1,-,0*,0.00,0.00,-,-,1,Sri Lanka
67,A Flintoff,2007-2007,5,5,1,70,31,17.50,132.07,-,-,-,England
68,PG Fulton,2007-2007,5,5,1,77,25,19.25,105.47,-,-,1,New Zealand
69,G Gambhir,2007-2007,7,6,0,227,75,37.83,129.71,-,3,1,India
70,HH Gibbs,2007-2007,3,3,1,110,90*,55.00,142.85,-,1,-,South Africa
