,player,Country,Runs,HS,Avg,SR
0,KD Mills,New Zealand,7,7*,0.0,233.33
1,PJ Ongondo,Kenya,6,6,3.0,200.0
2,LL Tsotsobe,South Africa,4,4*,0.0,200.0
3,M Muralidaran,Sri Lanka,7,7,7.0,175.0
4,DJ Hussey,Australia,52,38*,52.0,152.94
5,SL Malinga,Sri Lanka,6,6,6.0,150.0
6,KA Pollard,West Indies,180,94,30.0,150.0
7,R Ashwin,India,10,10*,0.0,142.85
8,NLTC Perera,Sri Lanka,44,22*,14.66,141.93
9,A Shahzad,England,7,6*,7.0,140.0
10,MG Johnson,Australia,25,12*,25.0,131.57
11,Shahid Afridi,Pakistan,84,20,12.0,125.37
12,KJ O'Brien,Ireland,198,113,39.6,125.31
13,JEC Franklin,New Zealand,52,31*,17.33,123.8
14,NO Miller,West Indies,16,11*,0.0,123.07
15,PR Stirling,Ireland,157,101,26.16,122.65
16,V Sehwag,India,380,175,47.5,122.58
17,KMDN Kulasekara,Sri Lanka,64,32,21.33,120.75
18,Umar Gul,Pakistan,38,34*,38.0,118.75
19,GP Swann,England,60,16,15.0,117.64
20,PD Collingwood,England,61,30*,20.33,117.3
21,RJ Peterson,South Africa,43,22*,21.5,116.21
22,JDP Oram,New Zealand,59,25,19.66,115.68
23,YK Pathan,India,74,30*,14.8,115.62
24,DJG Sammy,West Indies,54,41,9.0,110.2
25,AB de Villiers,South Africa,353,134,88.25,108.28
26,DJ Bravo,West Indies,40,40,40.0,108.1
27,KS Williamson,New Zealand,99,38*,49.5,107.6
28,CA Ingram,South Africa,46,46,46.0,106.97
29,H Patel,Canada,85,54,42.5,106.25
30,DL Vettori,New Zealand,53,44,26.5,106.0
31,Rizwan Cheema,Canada,76,37,12.66,105.55
32,AD Mathews,Sri Lanka,94,41*,31.33,104.44
33,SPD Smith,Australia,53,25,26.5,103.92
34,KA Edwards,West Indies,17,17,17.0,100.0
35,LJ Woodcock,New Zealand,3,3*,0.0,100.0
36,DPMD Jayawardene,Sri Lanka,304,103*,50.66,100.0
37,SK Raina,India,74,36*,74.0,98.66
38,J Botha,South Africa,58,23,19.33,98.3
39,JP Duminy,South Africa,224,99,37.33,97.81
40,V Sibanda,Zimbabwe,66,61,33.0,97.05
41,KP Pietersen,England,131,59,32.75,96.32
42,CH Gayle,West Indies,170,80,42.5,94.97
43,AJ Strauss,England,334,158,47.71,93.55
44,MEK Hussey,Australia,69,54,23.0,93.24
45,BB McCullum,New Zealand,256,101,42.66,92.41
46,SR Watson,Australia,290,94,48.33,92.35
47,SR Tendulkar,India,482,120,53.55,91.98
48,DT Johnston,Ireland,42,17,14.0,91.3
49,MJ Clarke,Australia,233,93,77.66,91.01
50,TM Dilshan,Sri Lanka,500,144,62.5,90.74
51,PW Borren,Netherlands,173,84,34.6,90.1
52,AD Russell,West Indies,52,49,17.33,89.65
53,RN ten Doeschate,Netherlands,307,119,61.4,89.24
54,SC Williams,Zimbabwe,58,30,29.0,89.23
55,Tamim Iqbal,Bangladesh,157,70,26.16,89.2
56,HM Amla,South Africa,306,113,43.71,87.67
57,BRM Taylor,Zimbabwe,170,80,28.33,87.17
58,LRPL Taylor,New Zealand,324,131*,64.8,87.09
59,Umar Akmal,Pakistan,240,71,48.0,86.95
60,Yuvraj Singh,India,362,113,90.5,86.19
61,SB Styris,New Zealand,142,57,23.66,86.06
62,CR Ervine,Zimbabwe,231,85,38.5,85.87
63,EJG Morgan,England,120,63,40.0,85.71
64,Z Khan,India,18,9,4.5,85.71
65,G Gambhir,India,393,97,43.66,85.06
66,MJ Prior,England,78,22*,15.6,84.78
67,GC Wilson,Ireland,122,61,30.5,84.13
68,F du Plessis,South Africa,159,52,39.75,84.12
69,KC Sangakkara,Sri Lanka,465,111,93.0,83.78
70,WU Tharanga,Sri Lanka,395,133,56.42,83.68
71,Abdul Razzaq,Pakistan,104,62,26.0,83.2
72,V Kohli,India,282,100*,35.25,82.21
73,TT Bresnan,England,41,20*,10.25,82.0
74,MS Dhoni,India,241,91*,48.2,81.69
