,country,runs
0,Australia,1342
1,Pakistan,1534
2,India,2338
3,Sri Lanka,2073
4,Ireland,1306
5,Zimbabwe,1209
6,Canada,963
7,Kenya,848
8,England,1720
9,West Indies,1320
10,Bangladesh,930
11,South Africa,1699
12,New Zealand,1581
13,Netherlands,1123
