,country,runs
0,Australia,1396
1,Pakistan,1468
2,India,2218
3,Sri Lanka,1563
4,Ireland,1563
5,Zimbabwe,1172
6,Canada,1560
7,Kenya,1347
8,England,1742
9,West Indies,1219
10,Bangladesh,1248
11,South Africa,1222
12,New Zealand,1513
13,Netherlands,1610
