,country,Wickets
0,Australia,45
1,Pakistan,67
2,India,69
3,Sri Lanka,65
4,Ireland,40
5,Zimbabwe,32
6,Canada,43
7,Kenya,23
8,England,43
9,West Indies,51
10,Bangladesh,36
11,South Africa,65
12,New Zealand,60
13,Netherlands,29
