,player,span,Mat,Inns,NO,Runs,HS,Avg,SR,100's,50's,0's,Country
0,SA Abbott,2023-2023,1,-,0,-,-,-,0.00,-,-,-,Australia
1,Abdullah Shafique,2023-2023,8,8,0,336,113,42.00,93.33,1,3,1,Pakistan
2,Agha Salman,2023-2023,3,1,0,51,51,51.00,113.33,-,1,-,Pakistan
3,MM Ali,2023-2023,6,6,0,95,42,15.83,74.80,-,-,-,England
4,KIC Asalanka,2023-2023,9,8,0,288,108,36.00,85.20,1,1,-,Sri Lanka
5,R Ashwin,2023-2023,1,-,0,-,-,-,0.00,-,-,-,India
6,AAP Atkinson,2023-2023,3,3,1,37,35,18.50,160.86,-,-,1,England
7,Azmatullah Omarzai,2023-2023,9,8,3,353,97*,70.60,97.78,-,3,-,Afghanistan
8,Babar Azam,2023-2023,9,9,1,320,74,40.00,82.90,-,4,-,Pakistan
9,JM Bairstow,2023-2023,9,9,0,215,59,23.88,88.47,-,2,1,England
10,HC Brook,2023-2023,6,6,0,169,66,28.16,112.66,-,1,-,England
11,JC Buttler,2023-2023,9,9,0,138,43,15.33,97.18,-,-,-,England
12,AT Carey,2023-2023,1,1,0,-,0,0.00,0.00,-,-,1,Australia
13,PVD Chameera,2023-2023,4,4,0,6,4,1.50,15.38,-,-,1,Sri Lanka
14,SM Curran,2023-2023,3,3,0,35,14,11.66,61.40,-,-,-,England
15,DM de Silva,2023-2023,8,7,0,140,34,20.00,76.08,-,-,-,Sri Lanka
16,Fakhar Zaman,2023-2023,4,4,1,220,126*,73.33,122.90,1,1,-,Pakistan
17,Fazalhaq Farooqi,2023-2023,6,3,2,2,2*,2.00,22.22,-,-,1,Afghanistan
18,C Green,2023-2023,3,3,0,63,47,21.00,75.90,-,-,-,Australia
19,Haris Rauf,2023-2023,9,5,2,53,35,17.66,117.77,-,-,-,Pakistan
20,Hasan Ali,2023-2023,6,3,0,20,12,6.66,71.42,-,-,1,Pakistan
21,Hasan Mahmud,2023-2023,2,1,0,15,15,15.00,60.00,-,-,-,Bangladesh
22,Hashmatullah Shahidi,2023-2023,9,9,3,310,80,51.66,73.11,-,3,-,Afghanistan
23,MADI Hemantha,2023-2023,2,2,1,4,4*,4.00,100.00,-,-,1,Sri Lanka
24,RR Hendricks,2023-2023,2,2,0,97,85,48.50,103.19,-,1,-,South Africa
25,MJ Henry,2023-2023,7,4,2,19,10*,9.50,86.36,-,-,1,New Zealand
26,Ibrahim Zadran,2023-2023,9,9,1,376,129*,47.00,76.26,1,1,-,Afghanistan
27,Iftikhar Ahmed,2023-2023,9,8,2,142,40,23.66,115.44,-,-,-,Pakistan
28,Ikram Alikhil,2023-2023,7,3,1,89,58,44.50,88.11,-,1,-,Afghanistan
29,Imam-ul-Haq,2023-2023,6,6,0,162,70,27.00,90.00,-,1,-,Pakistan
30,Ishan Kishan,2023-2023,2,2,0,47,47,23.50,97.91,-,-,1,India
31,C Karunaratne,2023-2023,3,2,0,8,6,4.00,28.57,-,-,-,Sri Lanka
32,FDM Karunaratne,2023-2023,2,2,0,15,15,7.50,68.18,-,-,1,Sri Lanka
33,R Klein,2023-2023,1,1,0,8,8,8.00,53.33,-,-,-,Netherlands
34,CBRLS Kumara,2023-2023,2,1,0,4,4,4.00,50.00,-,-,-,Sri Lanka
35,Litton Das,2023-2023,9,9,0,284,76,31.55,80.22,-,2,1,Bangladesh
36,LS Livingstone,2023-2023,6,6,0,60,27,10.00,63.82,-,-,1,England
37,D Madushanka,2023-2023,9,6,4,28,19,14.00,41.79,-,-,-,Sri Lanka
38,Mahedi Hasan,2023-2023,3,3,1,33,17,16.50,45.20,-,-,-,Bangladesh
39,Mahmudullah,2023-2023,8,7,1,328,111,54.66,91.62,1,1,-,Bangladesh
40,DJ Malan,2023-2023,9,9,0,404,140,44.88,101.00,1,2,-,England
41,AD Mathews,2023-2023,5,4,0,51,23,12.75,65.38,-,-,1,Sri Lanka
42,Mehidy Hasan Miraz,2023-2023,9,9,0,201,57,22.33,79.44,-,1,-,Bangladesh
43,BKG Mendis,2023-2023,9,9,0,294,122,32.66,113.95,1,1,-,Sri Lanka
44,Mohammad Nabi,2023-2023,9,6,0,55,19,9.16,72.36,-,-,-,Afghanistan
45,Mohammad Nawaz,2023-2023,5,4,0,81,39,20.25,83.50,-,-,-,Pakistan
46,Mohammad Rizwan,2023-2023,9,8,2,395,131*,65.83,95.41,1,1,-,Pakistan
47,Mohammad Wasim,2023-2023,4,2,1,23,16*,23.00,100.00,-,-,-,Pakistan
48,Mujeeb Ur Rahman,2023-2023,9,5,1,51,28,12.75,127.50,-,-,-,Afghanistan
49,Mushfiqur Rahim,2023-2023,9,9,1,202,66,25.25,79.21,-,2,-,Bangladesh
50,Mustafizur Rahman,2023-2023,8,6,2,42,20,10.50,47.19,-,-,-,Bangladesh
