,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
23,MADI Hemantha,2023-2023,2,2,96,-,94,-,-,-,5.87,-,-,-,-,1,Sri Lanka
24,RR Hendricks,2023-2023,2,-,0,-,-,-,-,-,-,-,-,-,-,1,South Africa
25,MJ Henry,2023-2023,7,7,326,3,315,11,28.63,29.6,5.79,3/40,-,-,-,5,New Zealand
26,Ibrahim Zadran,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,5,Afghanistan
27,Iftikhar Ahmed,2023-2023,9,8,288,-,262,4,65.50,72.0,5.45,1/16,-,-,-,3,Pakistan
28,Ikram Alikhil,2023-2023,7,-,0,-,-,-,-,-,-,-,-,-,1,6,Afghanistan
29,Imam-ul-Haq,2023-2023,6,-,0,-,-,-,-,-,-,-,-,-,-,1,Pakistan
30,Ishan Kishan,2023-2023,2,-,0,-,-,-,-,-,-,-,-,-,-,-,India
31,C Karunaratne,2023-2023,3,2,72,1,73,-,-,-,6.08,-,-,-,-,1,Sri Lanka
32,FDM Karunaratne,2023-2023,2,-,0,-,-,-,-,-,-,-,-,-,-,2,Sri Lanka
33,R Klein,2023-2023,1,1,42,1,41,-,-,-,5.85,-,-,-,-,-,Netherlands
34,CBRLS Kumara,2023-2023,2,2,66,-,82,3,27.33,22.0,7.45,3/35,-,-,-,-,Sri Lanka
35,Litton Das,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,5,Bangladesh
36,LS Livingstone,2023-2023,6,6,174,1,158,3,52.66,58.0,5.44,1/13,-,-,-,2,England
37,D Madushanka,2023-2023,9,9,470,4,525,21,25.00,22.3,6.70,5/80,1,-,-,-,Sri Lanka
38,Mahedi Hasan,2023-2023,3,3,144,-,149,6,24.83,24.0,6.20,4/71,-,-,-,1,Bangladesh
39,Mahmudullah,2023-2023,8,3,30,-,33,-,-,-,6.60,-,-,-,-,5,Bangladesh
40,DJ Malan,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,4,England
41,AD Mathews,2023-2023,5,5,133,2,107,6,17.83,22.1,4.82,2/14,-,-,-,-,Sri Lanka
42,Mehidy Hasan Miraz,2023-2023,9,9,432,3,402,10,40.20,43.2,5.58,3/25,-,-,-,2,Bangladesh
43,BKG Mendis,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,1,6,Sri Lanka
44,Mohammad Nabi,2023-2023,9,9,369,4,254,8,31.75,46.1,4.13,3/28,-,-,-,5,Afghanistan
45,Mohammad Nawaz,2023-2023,5,5,227,-,223,2,111.50,113.5,5.89,1/31,-,-,-,1,Pakistan
46,Mohammad Rizwan,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,11,Pakistan
47,Mohammad Wasim,2023-2023,4,4,229,2,215,10,21.50,22.9,5.63,3/31,-,-,-,1,Pakistan
48,Mujeeb Ur Rahman,2023-2023,9,9,491,2,458,8,57.25,61.3,5.59,3/51,-,-,-,1,Afghanistan
49,Mushfiqur Rahim,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,1,4,Bangladesh
50,Mustafizur Rahman,2023-2023,8,8,394,3,398,5,79.60,78.8,6.06,2/36,-,-,-,1,Bangladesh
51,Najibullah Zadran,2023-2023,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
52,Nasum Ahmed,2023-2023,3,3,147,-,172,-,-,-,7.02,-,-,-,-,1,Bangladesh
53,Naveen-ul-Haq,2023-2023,8,8,322,1,352,8,44.00,40.2,6.55,2/47,-,-,-,2,Afghanistan
54,Najmul Hossain Shanto,2023-2023,9,1,6,-,5,-,-,-,5.00,-,-,-,-,3,Bangladesh
55,JDS Neesham,2023-2023,3,3,87,-,157,2,78.50,43.5,10.82,1/32,-,-,-,1,New Zealand
56,L Ngidi,2023-2023,8,8,363,6,355,10,35.50,36.3,5.86,2/26,-,-,-,1,South Africa
57,P Nissanka,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,2,Sri Lanka
58,Noor Ahmad,2023-2023,4,4,228,1,182,5,36.40,45.6,4.78,3/49,-,-,-,-,Afghanistan
59,HH Pandya,2023-2023,4,4,99,-,113,5,22.60,19.8,6.84,2/34,-,-,-,1,India
60,M Pathirana,2023-2023,2,2,114,-,185,2,92.50,57.0,9.73,1/90,-,-,-,-,Sri Lanka
61,MDKJ Perera,2023-2023,7,-,0,-,-,-,-,-,-,-,-,-,-,3,Sri Lanka
62,AL Phehlukwayo,2023-2023,1,1,42,-,36,1,36.00,42.0,5.14,1/36,-,-,-,-,South Africa
63,Rahmanullah Gurbaz,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,2,Afghanistan
64,Rahmat Shah,2023-2023,9,1,6,-,12,-,-,-,12.00,-,-,-,-,2,Afghanistan
65,CAK Rajitha,2023-2023,6,6,294,1,336,8,42.00,36.7,6.85,4/50,-,-,-,1,Sri Lanka
66,AU Rashid,2023-2023,9,9,478,1,413,15,27.53,31.8,5.18,3/42,-,-,-,3,England
67,Rashid Khan,2023-2023,9,9,519,2,388,11,35.27,47.1,4.48,3/37,-,-,-,3,Afghanistan
68,JE Root,2023-2023,9,2,61,-,67,1,67.00,61.0,6.59,1/19,-,-,-,5,England
69,S Samarawickrama,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,3,Sri Lanka
70,Saqib Zulfiqar,2023-2023,2,2,30,-,40,1,40.00,30.0,8.00,1/25,-,-,-,3,Netherlands
71,Saud Shakeel,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,3,Pakistan
72,Shadab Khan,2023-2023,6,5,228,-,237,2,118.50,114.0,6.23,1/45,-,-,-,2,Pakistan
73,Shaheen Shah Afridi,2023-2023,9,9,486,3,481,18,26.72,27.0,5.93,5/54,1,-,-,3,Pakistan
74,MD Shanaka,2023-2023,2,2,66,-,64,-,-,-,5.81,-,-,-,-,1,Sri Lanka
75,Shakib Al Hasan,2023-2023,7,7,375,1,329,9,36.55,41.6,5.26,3/30,-,-,-,2,Bangladesh
76,Shariz Ahmad,2023-2023,1,1,12,-,13,-,-,-,6.50,-,-,-,-,-,Netherlands
77,Shoriful Islam,2023-2023,8,8,388,3,409,10,40.90,38.8,6.32,3/75,-,-,-,1,Bangladesh
78,IS Sodhi,2023-2023,1,1,24,-,44,-,-,-,11.00,-,-,-,-,-,New Zealand
79,MP Stoinis,2023-2023,6,6,114,-,143,4,35.75,28.5,7.52,2/40,-,-,-,2,Australia
80,BA Stokes,2023-2023,6,-,0,-,-,-,-,-,-,-,-,-,-,6,England
81,Tanzid Hasan,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,3,Bangladesh
82,Tanzim Hasan Sakib,2023-2023,1,1,60,-,80,3,26.66,20.0,8.00,3/80,-,-,-,-,Bangladesh
83,Taskin Ahmed,2023-2023,7,7,330,3,305,5,61.00,66.0,5.54,2/43,-,-,-,-,Bangladesh
84,SN Thakur,2023-2023,3,3,102,-,102,2,51.00,51.0,6.00,1/31,-,-,-,1,India
85,M Theekshana,2023-2023,8,8,428,1,382,6,63.66,71.3,5.35,2/44,-,-,-,2,Sri Lanka
86,RJW Topley,2023-2023,3,3,166,2,183,8,22.87,20.7,6.61,4/43,-,-,-,-,England
87,Towhid Hridoy,2023-2023,7,-,0,-,-,-,-,-,-,-,-,-,-,4,Bangladesh
88,Usama Mir,2023-2023,4,4,210,-,248,4,62.00,52.5,7.08,2/45,-,-,-,5,Pakistan
89,Vikramjit Singh,2023-2023,6,3,42,-,52,-,-,-,7.42,-,-,-,-,1,Netherlands
90,DN Wellalage,2023-2023,3,3,176,-,196,2,98.00,88.0,6.68,1/53,-,-,-,1,Sri Lanka
91,DJ Willey,2023-2023,6,6,306,6,259,11,23.54,27.8,5.07,3/45,-,-,-,1,England
92,LB Williams,2023-2023,1,1,52,1,56,2,28.00,26.0,6.46,2/56,-,-,-,-,South Africa
93,CR Woakes,2023-2023,8,8,330,1,298,10,29.80,33.0,5.41,4/54,-,-,-,3,England
94,MA Wood,2023-2023,7,7,324,1,349,6,58.16,54.0,6.46,2/50,-,-,-,1,England
95,WA Young,2023-2023,6,-,0,-,-,-,-,-,-,-,-,-,-,2,New Zealand
96,CN Ackermann,2023-2023,9,9,284,2,234,5,46.80,56.8,4.94,2/39,-,-,-,3,Netherlands
97,W Barresi,2023-2023,4,-,0,-,-,-,-,-,-,-,-,-,-,1,Netherlands
98,T Bavuma,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,-,3,South Africa
99,TA Boult,2023-2023,10,10,546,6,504,14,36.00,39.0,5.53,3/37,-,-,-,4,New Zealand
100,JJ Bumrah,2023-2023,11,11,551,9,373,20,18.65,27.5,4.06,4/39,-,-,-,1,India
101,MS Chapman,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,-,1,New Zealand
102,G Coetzee,2023-2023,8,8,381,1,396,20,19.80,19.0,6.23,4/44,-,-,-,3,South Africa
103,DP Conway,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,-,6,New Zealand
104,PJ Cummins,2023-2023,11,11,537,1,515,15,34.33,35.8,5.75,3/51,-,-,-,4,Australia
105,Q de Kock,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,1,19,South Africa
106,BFW de Leede,2023-2023,9,8,402,-,487,16,30.43,25.1,7.26,4/62,-,-,-,5,Netherlands
107,A Dutt,2023-2023,9,9,465,6,426,10,42.60,46.5,5.49,3/44,-,-,-,5,Netherlands
108,SA Edwards,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,2,13,Netherlands
109,SA Engelbrecht,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,-,6,Netherlands
110,LH Ferguson,2023-2023,7,7,324,3,301,10,30.10,32.4,5.57,3/19,-,-,-,-,New Zealand
111,JR Hazlewood,2023-2023,11,11,559,8,449,16,28.06,34.9,4.81,3/38,-,-,-,4,Australia
112,TM Head,2023-2023,6,5,126,-,101,2,50.50,63.0,4.80,2/21,-,-,-,3,Australia
113,JP Inglis,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,2,14,Australia
114,SS Iyer,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,-,5,India
115,RA Jadeja,2023-2023,11,11,561,4,398,16,24.87,35.0,4.25,5/33,1,-,-,7,India
116,M Jansen,2023-2023,9,9,414,3,450,17,26.47,24.3,6.52,3/31,-,-,-,3,South Africa
117,H Klaasen,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,-,9,South Africa
118,V Kohli,2023-2023,11,2,21,-,15,1,15.00,21.0,4.28,1/13,-,-,-,6,India
119,Kuldeep Yadav,2023-2023,11,11,571,2,424,15,28.26,38.0,4.45,2/7,-,-,-,2,India
120,M Labuschagne,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,-,8,Australia
121,TWM Latham,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,-,9,New Zealand
122,KA Maharaj,2023-2023,10,10,534,1,370,15,24.66,35.6,4.15,4/46,-,-,-,4,South Africa
123,AK Markram,2023-2023,10,4,111,1,85,1,85.00,111.0,4.59,1/23,-,-,-,4,South Africa
124,MR Marsh,2023-2023,10,5,78,-,96,2,48.00,39.0,7.38,2/19,-,-,-,-,Australia
125,GJ Maxwell,2023-2023,9,8,411,1,330,6,55.00,68.5,4.81,2/34,-,-,-,4,Australia
126,DA Miller,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,-,7,South Africa
127,DJ Mitchell,2023-2023,10,2,9,-,12,-,-,-,8.00,-,-,-,-,11,New Zealand
128,Mohammed Shami,2023-2023,7,7,293,4,257,24,10.70,12.2,5.26,7/57,3,-,-,2,India
129,Mohammed Siraj,2023-2023,11,11,495,6,469,14,33.50,35.3,5.68,3/16,-,-,-,-,India
130,AT Nidamanuru,2023-2023,7,-,0,-,-,-,-,-,-,-,-,-,-,2,Netherlands
131,MP O'Dowd,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,-,Netherlands
132,GD Phillips,2023-2023,10,10,240,1,233,6,38.83,40.0,5.82,3/37,-,-,-,5,New Zealand
133,K Rabada,2023-2023,9,9,437,7,364,13,28.00,33.6,4.99,3/33,-,-,-,4,South Africa
134,KL Rahul,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,1,16,India
135,R Ravindra,2023-2023,10,9,394,-,393,5,78.60,78.8,5.98,2/21,-,-,-,3,New Zealand
136,MJ Santner,2023-2023,10,10,556,4,449,16,28.06,34.7,4.84,5/59,1,-,-,5,New Zealand
137,T Shamsi,2023-2023,4,4,227,-,212,9,23.55,25.2,5.60,4/60,-,-,-,-,South Africa
138,RG Sharma,2023-2023,11,1,5,-,7,1,7.00,5.0,8.40,1/7,-,-,-,2,India
139,Shubman Gill,2023-2023,9,1,12,-,11,-,-,-,5.50,-,-,-,-,6,India
140,SPD Smith,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,-,2,Australia
141,TG Southee,2023-2023,4,4,198,-,256,7,36.57,28.2,7.75,3/100,-,-,-,-,New Zealand
142,MA Starc,2023-2023,10,10,522,2,528,16,33.00,32.6,6.06,3/34,-,-,-,6,Australia
143,LV van Beek,2023-2023,8,8,425,1,476,12,39.66,35.4,6.72,4/74,-,-,-,2,Netherlands
144,HE van der Dussen,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,-,4,South Africa
145,RE van der Merwe,2023-2023,8,8,336,-,311,6,51.83,56.0,5.55,2/34,-,-,-,2,Netherlands
146,PA van Meekeren,2023-2023,9,9,446,1,447,12,37.25,37.1,6.01,4/23,-,-,-,2,Netherlands
147,DA Warner,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,-,8,Australia
148,KS Williamson,2023-2023,4,-,0,-,-,-,-,-,-,-,-,-,-,2,New Zealand
149,SA Yadav,2023-2023,7,1,12,-,17,-,-,-,8.50,-,-,-,-,1,India
150,A Zampa,2023-2023,11,11,576,1,515,23,22.39,25.0,5.36,4/8,-,-,-,2,Australia
