,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
0,SA Abbott,2023-2023,1,1,60,-,61,2,30.50,30.0,6.10,2/61,-,-,-,1,Australia
1,Abdullah Shafique,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,-,2,Pakistan
2,Agha Salman,2023-2023,3,2,30,-,46,-,-,-,9.20,-,-,-,-,3,Pakistan
3,MM Ali,2023-2023,6,6,256,-,248,5,49.60,51.2,5.81,3/42,-,-,-,4,England
4,KIC Asalanka,2023-2023,9,1,6,-,10,-,-,-,10.00,-,-,-,-,4,Sri Lanka
5,R Ashwin,2023-2023,1,1,60,1,34,1,34.00,60.0,3.40,1/34,-,-,-,-,India
6,AAP Atkinson,2023-2023,3,3,144,-,146,4,36.50,36.0,6.08,2/45,-,-,-,-,England
7,Azmatullah Omarzai,2023-2023,9,9,228,1,270,7,38.57,32.5,7.10,2/52,-,-,-,1,Afghanistan
8,Babar Azam,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,4,Pakistan
9,JM Bairstow,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,5,England
10,HC Brook,2023-2023,6,-,0,-,-,-,-,-,-,-,-,-,-,-,England
11,JC Buttler,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,2,9,England
12,AT Carey,2023-2023,1,-,0,-,-,-,-,-,-,-,-,-,-,-,Australia
13,PVD Chameera,2023-2023,4,4,188,3,196,2,98.00,94.0,6.25,1/20,-,-,-,-,Sri Lanka
14,SM Curran,2023-2023,3,3,104,2,140,2,70.00,52.0,8.07,1/47,-,-,-,1,England
15,DM de Silva,2023-2023,8,8,150,-,174,-,-,-,6.96,-,-,-,-,4,Sri Lanka
16,Fakhar Zaman,2023-2023,4,-,0,-,-,-,-,-,-,-,-,-,-,3,Pakistan
17,Fazalhaq Farooqi,2023-2023,6,6,240,2,228,6,38.00,40.0,5.70,4/34,-,-,-,1,Afghanistan
18,C Green,2023-2023,3,1,12,-,11,-,-,-,5.50,-,-,-,-,2,Australia
19,Haris Rauf,2023-2023,9,9,474,1,533,16,33.31,29.6,6.74,3/43,-,-,-,1,Pakistan
20,Hasan Ali,2023-2023,6,6,306,2,321,9,35.66,34.0,6.29,4/71,-,-,-,-,Pakistan
21,Hasan Mahmud,2023-2023,2,2,84,-,132,3,44.00,28.0,9.42,2/67,-,-,-,-,Bangladesh
22,Hashmatullah Shahidi,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
