,country,Wickets
0,Australia,86
1,Pakistan,65
2,India,99
3,Sri Lanka,50
4,England,65
5,Afghanistan,53
6,Bangladesh,51
7,South Africa,88
8,New Zealand,71
9,Netherlands,62
