Country,SR,No. Of Players,Average SR
Australia,357.3,15,23.82
Pakistan,465.5,15,31.03
England,425.5,15,28.37
Sri Lanka,413.4,18,27.56
India,304.8,15,20.32
Afghanistan,312.8,13,20.85
Bangladesh,340.4,15,22.69
South Africa,353.0,15,23.53
New Zealand,326.2,15,21.75
Netherlands,286.9,15,19.13
