,country,runs
0,Australia,2945
1,Pakistan,2220
2,India,3038
3,Sri Lanka,1942
4,England,2135
5,Afghanistan,1990
6,Bangladesh,1944
7,South Africa,2773
8,New Zealand,2712
9,Netherlands,1728
