,Country,SR,No. Of Players,Average SR
0,Australia,1215.33,15,81.02
1,Pakistan,1376.45,15,91.76
2,England,1548.33,15,103.22
3,Sri Lanka,1281.06,18,71.17
4,India,1251.09,15,83.41
5,Afghanistan,1005.81,13,77.37
6,Bangladesh,1134.81,15,75.65
7,South Africa,1221.64,15,81.44
8,New Zealand,1392.4,15,92.83
9,Netherlands,1066.68,15,71.11
